,Season,Team,Player
584,3,Mumbai Indians,Abu Nechim
585,3,Mumbai Indians,Dwayne Bravo
586,3,Mumbai Indians,Shikhar Dhawan
587,3,Mumbai Indians,Jean-Paul Duminy
588,3,Mumbai Indians,Dilhara Fernando
589,3,Mumbai Indians,Harbhajan Singh
590,3,Mumbai Indians,Sanath Jayasuriya
591,3,Mumbai Indians,Zaheer Khan
592,3,Mumbai Indians,Dhawal Kulkarni
593,3,Mumbai Indians,Ryan McLaren
594,3,Mumbai Indians,Chandan Madan
595,3,Mumbai Indians,Ishan Malhotra
596,3,Mumbai Indians,Lasith Malinga
597,3,Mumbai Indians,Ali Murtaza
598,3,Mumbai Indians,Graham Napier
599,3,Mumbai Indians,Abhishek Nayar
600,3,Mumbai Indians,Kieron Pollard
601,3,Mumbai Indians,Ambati Rayudu
602,3,Mumbai Indians,Rajagopal Sathish
603,3,Mumbai Indians,Syed Shahabuddin
604,3,Mumbai Indians,Rahul Shukla
605,3,Mumbai Indians,Aditya Tare
606,3,Mumbai Indians,Saurabh Tiwary
607,3,Rajasthan Royals,Shane Warne
608,3,Rajasthan Royals,Swapnil Asnodkar
609,3,Rajasthan Royals,Johan Botha
610,3,Rajasthan Royals,Faiz Fazal
611,3,Rajasthan Royals,Aaron Finch
612,3,Rajasthan Royals,Abhishek Jhunjhunwala
613,3,Rajasthan Royals,Kamran Khan
614,3,Rajasthan Royals,Michael Lumb
615,3,Rajasthan Royals,Morne Morkel
616,3,Rajasthan Royals,Sumit Narwal
617,3,Rajasthan Royals,Naman Ojha
618,3,Rajasthan Royals,Munaf Patel
619,3,Rajasthan Royals,Yusuf Pathan
620,3,Rajasthan Royals,Amit Paunikar
621,3,Rajasthan Royals,Syed Quadri
622,3,Rajasthan Royals,Abhishek Raut
623,3,Rajasthan Royals,Amit Singh
624,3,Rajasthan Royals,Shaun Tait
625,3,Rajasthan Royals,Siddharth Trivedi
626,3,Rajasthan Royals,Amit Uniyal
627,3,Rajasthan Royals,Adam Voges
628,3,Rajasthan Royals,Shrikant Wagh
629,3,Rajasthan Royals,Damien Martyn
630,3,Rajasthan Royals,Dimitri Mascarenhas
631,3,Rajasthan Royals,Graeme Smith
632,4,Royal Challengers Bangalore,Daniel Vettori
633,4,Royal Challengers Bangalore,Mayank Agarwal
634,4,Royal Challengers Bangalore,Sreenath Aravind
635,4,Royal Challengers Bangalore,Arun Karthik
636,4,Royal Challengers Bangalore,BN Bharath
637,4,Royal Challengers Bangalore,Raju Bhatkal
638,4,Royal Challengers Bangalore,AB de Villiers
639,4,Royal Challengers Bangalore,Tillakaratne Dilshan
640,4,Royal Challengers Bangalore,Nuwan Pradeep
641,4,Royal Challengers Bangalore,Chidhambaram Gautam
642,4,Royal Challengers Bangalore,Chris Gayle
643,4,Royal Challengers Bangalore,Mohammad Kaif
644,4,Royal Challengers Bangalore,Abrar Kazi
645,4,Royal Challengers Bangalore,Zaheer Khan
646,4,Royal Challengers Bangalore,Virat Kohli
647,4,Royal Challengers Bangalore,Charl Langeveldt
648,4,Royal Challengers Bangalore,Abhimanyu Mithun
649,4,Royal Challengers Bangalore,Dirk Nannes
650,4,Royal Challengers Bangalore,Ryan Ninan
651,4,Royal Challengers Bangalore,Asad Pathan
652,4,Royal Challengers Bangalore,Luke Pomersbach
653,4,Royal Challengers Bangalore,Cheteshwar Pujara
654,4,Royal Challengers Bangalore,Rilee Rossouw
655,4,Royal Challengers Bangalore,Jamaluddin Syed Mohammad
656,4,Royal Challengers Bangalore,Saurabh Tiwary
657,4,Royal Challengers Bangalore,Johan van der Wath
658,4,Royal Challengers Bangalore,Jonathan Vandiar
659,4,Chennai Super Kings,MS Dhoni
660,4,Chennai Super Kings,Srikkanth Anirudha
661,4,Chennai Super Kings,Ravichandran Ashwin
662,4,Chennai Super Kings,S Badrinath
663,4,Chennai Super Kings,George Bailey
664,4,Chennai Super Kings,Doug Bollinger
665,4,Chennai Super Kings,Dwayne Bravo
666,4,Chennai Super Kings,Faf du Plessis
667,4,Chennai Super Kings,Ben Hilfenhaus
668,4,Chennai Super Kings,Michael Hussey
669,4,Chennai Super Kings,Shadab Jakati
670,4,Chennai Super Kings,Joginder Sharma
671,4,Chennai Super Kings,Suraj Randiv
672,4,Chennai Super Kings,Nuwan Kulasekara
673,4,Chennai Super Kings,Yo Mahesh
674,4,Chennai Super Kings,Albie Morkel
675,4,Chennai Super Kings,Abhinav Mukund
676,4,Chennai Super Kings,Suresh Raina
677,4,Chennai Super Kings,Wriddhiman Saha
678,4,Chennai Super Kings,Tim Southee
679,4,Chennai Super Kings,Scott Styris
680,4,Chennai Super Kings,Sudeep Tyagi
681,4,Chennai Super Kings,Kuthethurshri Vasudevadas
682,4,Chennai Super Kings,Ganapathi Vignesh
683,4,Chennai Super Kings,Murali Vijay
684,4,Deccan Chargers,Kumar Sangakkara
685,4,Deccan Chargers,Anand Rajan
686,4,Deccan Chargers,Ankit Sharma
687,4,Deccan Chargers,Ashish Reddy
688,4,Deccan Chargers,Akash Bhandari
689,4,Deccan Chargers,Bharat Chipli
690,4,Deccan Chargers,Daniel Christian
691,4,Deccan Chargers,Kedar Devdhar
692,4,Deccan Chargers,Shikhar Dhawan
693,4,Deccan Chargers,Jean-Paul Duminy
694,4,Deccan Chargers,Manpreet Gony
695,4,Deccan Chargers,Harmeet Singh
696,4,Deccan Chargers,Ishank Jaggi
697,4,Deccan Chargers,Michael Lumb
698,4,Deccan Chargers,Chris Lynn
699,4,Deccan Chargers,Ishan Malhotra
700,4,Deccan Chargers,Amit Mishra
701,4,Deccan Chargers,Pragyan Ojha
702,4,Deccan Chargers,Kevin Pietersen
703,4,Deccan Chargers,Dwaraka Ravi Teja
704,4,Deccan Chargers,Jaydev Shah
705,4,Deccan Chargers,Ishant Sharma
706,4,Deccan Chargers,Sunny Sohal
707,4,Deccan Chargers,Dale Steyn
708,4,Deccan Chargers,Rusty Theron
709,4,Deccan Chargers,Cameron White
710,4,Deccan Chargers,Arjun Yadav
711,4,Delhi Daredevils,Virender Sehwag
712,4,Delhi Daredevils,James Hopes
713,4,Delhi Daredevils,Varun Aaron
714,4,Delhi Daredevils,Ajit Agarkar
715,4,Delhi Daredevils,Travis Birt
716,4,Delhi Daredevils,Robin Bist
717,4,Delhi Daredevils,Unmukt Chand
718,4,Delhi Daredevils,Ajit Chandila
719,4,Delhi Daredevils,Ashok Dinda
720,4,Delhi Daredevils,Aaron Finch
721,4,Delhi Daredevils,Robbie Frylinck
722,4,Delhi Daredevils,Colin Ingram
723,4,Delhi Daredevils,Andrew McDonald
724,4,Delhi Daredevils,Morne Morkel
725,4,Delhi Daredevils,Shahbaz Nadeem
726,4,Delhi Daredevils,Yogesh Nagar
727,4,Delhi Daredevils,Prashant Naik
728,4,Delhi Daredevils,Naman Ojha
729,4,Delhi Daredevils,Irfan Pathan
730,4,Delhi Daredevils,Rajesh Pawar
731,4,Delhi Daredevils,Aavishkar Salvi
732,4,Delhi Daredevils,Sridharan Sriram
733,4,Delhi Daredevils,Roelof van der Merwe
734,4,Delhi Daredevils,Venugopal Rao
735,4,Delhi Daredevils,Vikas Mishra
736,4,Delhi Daredevils,Matthew Wade
737,4,Delhi Daredevils,David Warner
738,4,Delhi Daredevils,Tejashwi Yadav
739,4,Delhi Daredevils,Umesh Yadav
740,4,Delhi Daredevils,Vivek Yadav
741,4,Kings XI Punjab,Adam Gilchrist
742,4,Kings XI Punjab,Love Ablish
743,4,Kings XI Punjab,Amit Yadav
744,4,Kings XI Punjab,Bhargav Bhatt
745,4,Kings XI Punjab,Bipul Sharma
746,4,Kings XI Punjab,Piyush Chawla
747,4,Kings XI Punjab,Siddharth Chitnis
748,4,Kings XI Punjab,Paras Dogra
749,4,Kings XI Punjab,Ryan Harris
750,4,Kings XI Punjab,David Hussey
751,4,Kings XI Punjab,Dinesh Karthik
752,4,Kings XI Punjab,Praveen Kumar
753,4,Kings XI Punjab,Ryan McLaren
754,4,Kings XI Punjab,Vikramjeet Malik
755,4,Kings XI Punjab,Mandeep Singh
756,4,Kings XI Punjab,Shaun Marsh
757,4,Kings XI Punjab,David Miller
758,4,Kings XI Punjab,Abhishek Nayar
759,4,Kings XI Punjab,Nathan Rimmington
760,4,Kings XI Punjab,Nitin Saini
761,4,Kings XI Punjab,Shalabh Srivastava
762,4,Kings XI Punjab,Sunny Singh
763,4,Kings XI Punjab,Paul Valthaty
764,4,Kings XI Punjab,Stuart Broad
765,4,Kings XI Punjab,Dimitri Mascarenhas
766,4,Kolkata Knight Riders,Gautam Gambhir
767,4,Kolkata Knight Riders,Sarabjit Ladda
768,4,Kolkata Knight Riders,Lakshmipathy Balaji
769,4,Kolkata Knight Riders,Rajat Bhatia
770,4,Kolkata Knight Riders,Manvinder Bisla
771,4,Kolkata Knight Riders,Mark Boucher
772,4,Kolkata Knight Riders,Shreevats Goswami
773,4,Kolkata Knight Riders,Brad Haddin
774,4,Kolkata Knight Riders,Iqbal Abdulla
775,4,Kolkata Knight Riders,Jacques Kallis
776,4,Kolkata Knight Riders,Brett Lee
777,4,Kolkata Knight Riders,Mohammed Shami
778,4,Kolkata Knight Riders,Eoin Morgan
779,4,Kolkata Knight Riders,Yusuf Pathan
780,4,Kolkata Knight Riders,James Pattinson
781,4,Kolkata Knight Riders,Pradeep Sangwan
782,4,Kolkata Knight Riders,Shakib Al Hasan
783,4,Kolkata Knight Riders,Laxmi Shukla
784,4,Kolkata Knight Riders,Ryan ten Doeschate
785,4,Kolkata Knight Riders,Manoj Tiwary
786,4,Kolkata Knight Riders,Jaydev Unadkat
787,4,Mumbai Indians,Sachin Tendulkar
788,4,Mumbai Indians,Abu Nechim
789,4,Mumbai Indians,Aiden Blizzard
790,4,Mumbai Indians,Yuzvendra Chahal
791,4,Mumbai Indians,Dilhara Fernando
792,4,Mumbai Indians,James Franklin
793,4,Mumbai Indians,Harbhajan Singh
794,4,Mumbai Indians,Moises Henriques
795,4,Mumbai Indians,Davy Jacobs
796,4,Mumbai Indians,Sarul Kanwar
797,4,Mumbai Indians,Dhawal Kulkarni
798,4,Mumbai Indians,Lasith Malinga
799,4,Mumbai Indians,Ali Murtaza
800,4,Mumbai Indians,Munaf Patel
801,4,Mumbai Indians,Kieron Pollard
802,4,Mumbai Indians,Ambati Rayudu
803,4,Mumbai Indians,Rajagopal Sathish
804,4,Mumbai Indians,Rohit Sharma
805,4,Mumbai Indians,Tirumalasetti Suman
806,4,Mumbai Indians,Pawan Suyal
807,4,Mumbai Indians,Andrew Symonds
808,4,Mumbai Indians,Aditya Tare
809,4,Mumbai Indians,Santosh Yadav
810,4,Mumbai Indians,Suryakumar Yadav
811,4,Mumbai Indians,Clint McKay
812,4,Rajasthan Royals,Shane Warne
813,4,Rajasthan Royals,Swapnil Asnodkar
814,4,Rajasthan Royals,Stuart Binny
815,4,Rajasthan Royals,Johan Botha
816,4,Rajasthan Royals,Deepak Chahar
817,4,Rajasthan Royals,Ankeet Chavan
818,4,Rajasthan Royals,Aakash Chopra
819,4,Rajasthan Royals,Aditya Dole
820,4,Rajasthan Royals,Nayan Doshi
821,4,Rajasthan Royals,Rahul Dravid
822,4,Rajasthan Royals,Samad Fallah
823,4,Rajasthan Royals,Faiz Fazal
824,4,Rajasthan Royals,Ashok Menaria
825,4,Rajasthan Royals,Sumit Narwal
826,4,Rajasthan Royals,Jacob Oram
827,4,Rajasthan Royals,Pankaj Singh
828,4,Rajasthan Royals,Amit Paunikar
829,4,Rajasthan Royals,Ajinkya Rahane
830,4,Rajasthan Royals,Abhishek Raut
831,4,Rajasthan Royals,Dinesh Salunkhe
832,4,Rajasthan Royals,Pinal Shah
833,4,Rajasthan Royals,Amit Singh
834,4,Rajasthan Royals,Shaun Tait
835,4,Rajasthan Royals,Ross Taylor
836,4,Rajasthan Royals,Siddharth Trivedi
837,4,Rajasthan Royals,Shane Watson
838,4,Rajasthan Royals,Dishant Yagnik
839,4,Rajasthan Royals,Paul Collingwood
840,4,Kochi Tuskers Kerala,Mahela Jayawardene
841,4,Kochi Tuskers Kerala,Balachandra Akhil
842,4,Kochi Tuskers Kerala,Deepak Chougule
843,4,Kochi Tuskers Kerala,Gnaneswara Rao
844,4,Kochi Tuskers Kerala,Raiphi Gomez
845,4,Kochi Tuskers Kerala,John Hastings
846,4,Kochi Tuskers Kerala,Brad Hodge
847,4,Kochi Tuskers Kerala,Ravindra Jadeja
848,4,Kochi Tuskers Kerala,Kedar Jadhav
849,4,Kochi Tuskers Kerala,Michael Klinger
850,4,Kochi Tuskers Kerala,VVS Laxman
851,4,Kochi Tuskers Kerala,Brendon McCullum
852,4,Kochi Tuskers Kerala,Chandan Madan
853,4,Kochi Tuskers Kerala,Sushant Marathe
854,4,Kochi Tuskers Kerala,Muttiah Muralitharan
855,4,Kochi Tuskers Kerala,Steve O'Keefe
856,4,Kochi Tuskers Kerala,Prasanth Parameswaran
857,4,Kochi Tuskers Kerala,Parthiv Patel
858,4,Kochi Tuskers Kerala,Thisara Perera
859,4,Kochi Tuskers Kerala,Ramesh Powar
860,4,Kochi Tuskers Kerala,Padmanabhan Prasanth
861,4,Kochi Tuskers Kerala,Owais Shah
862,4,Kochi Tuskers Kerala,RP Singh
863,4,Kochi Tuskers Kerala,Steven Smith
864,4,Kochi Tuskers Kerala,Sreesanth
865,4,Kochi Tuskers Kerala,Tanmay Srivastava
866,4,Kochi Tuskers Kerala,Vinay Kumar
867,4,Kochi Tuskers Kerala,Yashpal Singh
868,4,Pune Warriors,Yuvraj Singh
869,4,Pune Warriors,Sourav Ganguly
870,4,Pune Warriors,Eklavya Dwivedi
871,4,Pune Warriors,James Faulkner
872,4,Pune Warriors,Callum Ferguson
873,4,Pune Warriors,Ganesh Gaikwad
874,4,Pune Warriors,Harpreet Singh
875,4,Pune Warriors,Imtiaz Ahmed
876,4,Pune Warriors,Dheeraj Jadhav
877,4,Pune Warriors,Abhishek Jhunjhunwala
878,4,Pune Warriors,Kamran Khan
879,4,Pune Warriors,Murali Kartik
880,4,Pune Warriors,Harshad Khadiwale
881,4,Pune Warriors,Bhuvneshwar Kumar
882,4,Pune Warriors,Nathan McCullum
883,4,Pune Warriors,Mithun Manhas
884,4,Pune Warriors,Mitchell Marsh
885,4,Pune Warriors,Mohnish Mishra
886,4,Pune Warriors,Shrikant Mundhe
887,4,Pune Warriors,Ashish Nehra
888,4,Pune Warriors,Tim Paine
889,4,Pune Warriors,Manish Pandey
890,4,Pune Warriors,Wayne Parnell
891,4,Pune Warriors,Sachin Rana
892,4,Pune Warriors,Jesse Ryder
893,4,Pune Warriors,Rahul Sharma
894,4,Pune Warriors,Graeme Smith
895,4,Pune Warriors,Jerome Taylor
896,4,Pune Warriors,Alfonso Thomas
897,4,Pune Warriors,Robin Uthappa
898,4,Pune Warriors,Shrikant Wagh
899,4,Pune Warriors,Angelo Mathews
900,5,Royal Challengers Bangalore,Daniel Vettori
901,5,Royal Challengers Bangalore,Mayank Agarwal
902,5,Royal Challengers Bangalore,KP Appanna
903,5,Royal Challengers Bangalore,Arun Karthik
904,5,Royal Challengers Bangalore,Raju Bhatkal
905,5,Royal Challengers Bangalore,AB de Villiers
906,5,Royal Challengers Bangalore,Tillakaratne Dilshan
907,5,Royal Challengers Bangalore,Chidhambaram Gautam
908,5,Royal Challengers Bangalore,Chris Gayle
909,5,Royal Challengers Bangalore,Mohammad Kaif
910,5,Royal Challengers Bangalore,Abrar Kazi
911,5,Royal Challengers Bangalore,Zaheer Khan
912,5,Royal Challengers Bangalore,Virat Kohli
913,5,Royal Challengers Bangalore,Charl Langeveldt
914,5,Royal Challengers Bangalore,Andrew McDonald
915,5,Royal Challengers Bangalore,Abhimanyu Mithun
916,5,Royal Challengers Bangalore,Muttiah Muralitharan
917,5,Royal Challengers Bangalore,Karun Nair
918,5,Royal Challengers Bangalore,Dirk Nannes
919,5,Royal Challengers Bangalore,Ryan Ninan
920,5,Royal Challengers Bangalore,Prasanth Parameswaran
921,5,Royal Challengers Bangalore,Harshal Patel
922,5,Royal Challengers Bangalore,Asad Pathan
923,5,Royal Challengers Bangalore,Luke Pomersbach
924,5,Royal Challengers Bangalore,Cheteshwar Pujara
925,5,Royal Challengers Bangalore,Rilee Rossouw
926,5,Royal Challengers Bangalore,Jamaluddin Syed Mohammad
927,5,Royal Challengers Bangalore,S Thiyagarajan
928,5,Royal Challengers Bangalore,Saurabh Tiwary
929,5,Royal Challengers Bangalore,Vinay Kumar
930,5,Royal Challengers Bangalore,Vijay Zol
931,5,Royal Challengers Bangalore,Sreenath Aravind
932,5,Chennai Super Kings,MS Dhoni
933,5,Chennai Super Kings,Srikkanth Anirudha
934,5,Chennai Super Kings,Ravichandran Ashwin
935,5,Chennai Super Kings,S Badrinath
936,5,Chennai Super Kings,George Bailey
937,5,Chennai Super Kings,Doug Bollinger
938,5,Chennai Super Kings,Dwayne Bravo
939,5,Chennai Super Kings,Faf du Plessis
940,5,Chennai Super Kings,Ben Hilfenhaus
941,5,Chennai Super Kings,Michael Hussey
942,5,Chennai Super Kings,Ravindra Jadeja
943,5,Chennai Super Kings,Shadab Jakati
944,5,Chennai Super Kings,Joginder Sharma
945,5,Chennai Super Kings,Suraj Randiv
946,5,Chennai Super Kings,Nuwan Kulasekara
947,5,Chennai Super Kings,Yo Mahesh
948,5,Chennai Super Kings,Albie Morkel
949,5,Chennai Super Kings,Abhinav Mukund
950,5,Chennai Super Kings,Suresh Raina
951,5,Chennai Super Kings,Wriddhiman Saha
952,5,Chennai Super Kings,Scott Styris
953,5,Chennai Super Kings,Sudeep Tyagi
954,5,Chennai Super Kings,Kuthethurshri Vasudevadas
955,5,Chennai Super Kings,Ganapathi Vignesh
956,5,Chennai Super Kings,Murali Vijay
957,5,Deccan Chargers,Kumar Sangakkara
958,5,Deccan Chargers,Anand Rajan
959,5,Deccan Chargers,Ankit Sharma
960,5,Deccan Chargers,Ashish Reddy
961,5,Deccan Chargers,Tekkami Atchuta Rao
962,5,Deccan Chargers,Akash Bhandari
963,5,Deccan Chargers,Darren Bravo
964,5,Deccan Chargers,Bharat Chipli
965,5,Deccan Chargers,Daniel Christian
966,5,Deccan Chargers,Kedar Devdhar
967,5,Deccan Chargers,Shikhar Dhawan
968,5,Deccan Chargers,Jean-Paul Duminy
969,5,Deccan Chargers,Manpreet Gony
970,5,Deccan Chargers,Daniel Harris
971,5,Deccan Chargers,Ishank Jaggi
972,5,Deccan Chargers,Abhishek Jhunjhunwala
973,5,Deccan Chargers,Chris Lynn
974,5,Deccan Chargers,Amit Mishra
975,5,Deccan Chargers,Tanmay Mishra
976,5,Deccan Chargers,Parthiv Patel
977,5,Deccan Chargers,Veer Pratap Singh
978,5,Deccan Chargers,Syed Quadri
979,5,Deccan Chargers,Dwaraka Ravi Teja
980,5,Deccan Chargers,Akshath Reddy
981,5,Deccan Chargers,Biplab Samantray
982,5,Deccan Chargers,Sneha Kishore
983,5,Deccan Chargers,Sunny Sohal
984,5,Deccan Chargers,Tanmay Srivastava
985,5,Deccan Chargers,Dale Steyn
986,5,Deccan Chargers,TP Sudhindra
987,5,Deccan Chargers,Rusty Theron
988,5,Deccan Chargers,Cameron White
989,5,Deccan Chargers,Arjun Yadav
990,5,Deccan Chargers,Ishant Sharma
991,5,Delhi Daredevils,Virender Sehwag
992,5,Delhi Daredevils,Varun Aaron
993,5,Delhi Daredevils,Ajit Agarkar
994,5,Delhi Daredevils,Punit Bisht
995,5,Delhi Daredevils,Robin Bist
996,5,Delhi Daredevils,Gulam Bodi
997,5,Delhi Daredevils,Doug Bracewell
998,5,Delhi Daredevils,Unmukt Chand
999,5,Delhi Daredevils,Aaron Finch
1000,5,Delhi Daredevils,Sunny Gupta
1001,5,Delhi Daredevils,Mahela Jayawardene
1002,5,Delhi Daredevils,Manprit Juneja
1003,5,Delhi Daredevils,Glenn Maxwell
1004,5,Delhi Daredevils,Morne Morkel
1005,5,Delhi Daredevils,Shahbaz Nadeem
1006,5,Delhi Daredevils,Yogesh Nagar
1007,5,Delhi Daredevils,Prashant Naik
1008,5,Delhi Daredevils,Pawan Negi
1009,5,Delhi Daredevils,Naman Ojha
1010,5,Delhi Daredevils,Zafir Patel
1011,5,Delhi Daredevils,Irfan Pathan
1012,5,Delhi Daredevils,Kevin Pietersen
1013,5,Delhi Daredevils,Kuldeep Raval
1014,5,Delhi Daredevils,Andre Russell
1015,5,Delhi Daredevils,Aavishkar Salvi
1016,5,Delhi Daredevils,Ross Taylor
1017,5,Delhi Daredevils,Roelof van der Merwe
1018,5,Delhi Daredevils,Venugopal Rao
1019,5,Delhi Daredevils,Vikas Mishra
1020,5,Delhi Daredevils,David Warner
1021,5,Delhi Daredevils,Tejashwi Yadav
1022,5,Delhi Daredevils,Umesh Yadav
1023,5,Delhi Daredevils,Travis Birt
1024,5,Delhi Daredevils,Colin Ingram
1025,5,Kings XI Punjab,Adam Gilchrist
1026,5,Kings XI Punjab,Kyle Abbott
1027,5,Kings XI Punjab,Love Ablish
1028,5,Kings XI Punjab,Amit Yadav
1029,5,Kings XI Punjab,Parvinder Awana
1030,5,Kings XI Punjab,Azhar Mahmood
1031,5,Kings XI Punjab,Bhargav Bhatt
1032,5,Kings XI Punjab,Bipul Sharma
1033,5,Kings XI Punjab,Piyush Chawla
1034,5,Kings XI Punjab,Siddharth Chitnis
1035,5,Kings XI Punjab,Ben Cutting
1036,5,Kings XI Punjab,Paras Dogra
1037,5,Kings XI Punjab,James Faulkner
1038,5,Kings XI Punjab,Gurkeerat Singh Mann
1039,5,Kings XI Punjab,Harmeet Singh
1040,5,Kings XI Punjab,Ryan Harris
1041,5,Kings XI Punjab,David Hussey
1042,5,Kings XI Punjab,Praveen Kumar
1043,5,Kings XI Punjab,Vikramjeet Malik
1044,5,Kings XI Punjab,Mandeep Singh
1045,5,Kings XI Punjab,Shaun Marsh
1046,5,Kings XI Punjab,Dimitri Mascarenhas
1047,5,Kings XI Punjab,David Miller
1048,5,Kings XI Punjab,Abhishek Nayar
1049,5,Kings XI Punjab,Ramesh Powar
1050,5,Kings XI Punjab,Nathan Rimmington
1051,5,Kings XI Punjab,Nitin Saini
1052,5,Kings XI Punjab,Shalabh Srivastava
1053,5,Kings XI Punjab,Sunny Singh
1054,5,Kings XI Punjab,Paul Valthaty
1055,5,Kings XI Punjab,Stuart Broad
1056,5,Kings XI Punjab,Rajagopal Sathish
1057,5,Kolkata Knight Riders,Gautam Gambhir
1058,5,Kolkata Knight Riders,Sarabjit Ladda
1059,5,Kolkata Knight Riders,Lakshmipathy Balaji
1060,5,Kolkata Knight Riders,Rajat Bhatia
1061,5,Kolkata Knight Riders,Manvinder Bisla
1062,5,Kolkata Knight Riders,Debabrata Das
1063,5,Kolkata Knight Riders,Marchant de Lange
1064,5,Kolkata Knight Riders,Brad Haddin
1065,5,Kolkata Knight Riders,Iqbal Abdulla
1066,5,Kolkata Knight Riders,Chirag Jani
1067,5,Kolkata Knight Riders,Jacques Kallis
1068,5,Kolkata Knight Riders,Brett Lee
1069,5,Kolkata Knight Riders,Brendon McCullum
1070,5,Kolkata Knight Riders,Mohammed Shami
1071,5,Kolkata Knight Riders,Eoin Morgan
1072,5,Kolkata Knight Riders,Sunil Narine
1073,5,Kolkata Knight Riders,Yusuf Pathan
1074,5,Kolkata Knight Riders,James Pattinson
1075,5,Kolkata Knight Riders,Sanju Samson
1076,5,Kolkata Knight Riders,Pradeep Sangwan
1077,5,Kolkata Knight Riders,Iresh Saxena
1078,5,Kolkata Knight Riders,Shakib Al Hasan
1079,5,Kolkata Knight Riders,Laxmi Shukla
1080,5,Kolkata Knight Riders,Ryan ten Doeschate
1081,5,Kolkata Knight Riders,Manoj Tiwary
1082,5,Kolkata Knight Riders,Jaydev Unadkat
1083,5,Mumbai Indians,Harbhajan Singh
1084,5,Mumbai Indians,Abu Nechim
1085,5,Mumbai Indians,Amitoze Singh
1086,5,Mumbai Indians,Aiden Blizzard
1087,5,Mumbai Indians,Yuzvendra Chahal
1088,5,Mumbai Indians,James Franklin
1089,5,Mumbai Indians,Herschelle Gibbs
1090,5,Mumbai Indians,Davy Jacobs
1091,5,Mumbai Indians,Dinesh Karthik
1092,5,Mumbai Indians,Kuldeep Yadav
1093,5,Mumbai Indians,Dhawal Kulkarni
1094,5,Mumbai Indians,Richard Levi
1095,5,Mumbai Indians,Clint McKay
1096,5,Mumbai Indians,Lasith Malinga
1097,5,Mumbai Indians,Sushant Marathe
1098,5,Mumbai Indians,Sujit Nayak
1099,5,Mumbai Indians,Pragyan Ojha
1100,5,Mumbai Indians,Munaf Patel
1101,5,Mumbai Indians,Thisara Perera
1102,5,Mumbai Indians,Robin Peterson
1103,5,Mumbai Indians,Kieron Pollard
1104,5,Mumbai Indians,Ambati Rayudu
1105,5,Mumbai Indians,Jaydev Shah
1106,5,Mumbai Indians,Rohit Sharma
1107,5,Mumbai Indians,Rahul Shukla
1108,5,Mumbai Indians,RP Singh
1109,5,Mumbai Indians,Dwayne Smith
1110,5,Mumbai Indians,Tirumalasetti Suman
1111,5,Mumbai Indians,Pawan Suyal
1112,5,Mumbai Indians,Aditya Tare
1113,5,Mumbai Indians,Sachin Tendulkar
1114,5,Mumbai Indians,Apoorv Wankhade
1115,5,Mumbai Indians,Suryakumar Yadav
1116,5,Mumbai Indians,Mitchell Johnson
1117,5,Rajasthan Royals,Rahul Dravid
1118,5,Rajasthan Royals,Stuart Binny
1119,5,Rajasthan Royals,Johan Botha
1120,5,Rajasthan Royals,Deepak Chahar
1121,5,Rajasthan Royals,Ajit Chandila
1122,5,Rajasthan Royals,Dinesh Chandimal
1123,5,Rajasthan Royals,Ankeet Chavan
1124,5,Rajasthan Royals,Aakash Chopra
1125,5,Rajasthan Royals,Paul Collingwood
1126,5,Rajasthan Royals,Kevon Cooper
1127,5,Rajasthan Royals,Aditya Dole
1128,5,Rajasthan Royals,Samad Fallah
1129,5,Rajasthan Royals,Faiz Fazal
1130,5,Rajasthan Royals,Shreevats Goswami
1131,5,Rajasthan Royals,Brad Hodge
1132,5,Rajasthan Royals,Brad Hogg
1133,5,Rajasthan Royals,Ashok Menaria
1134,5,Rajasthan Royals,Sumit Narwal
1135,5,Rajasthan Royals,Pankaj Singh
1136,5,Rajasthan Royals,Amit Paunikar
1137,5,Rajasthan Royals,Ajinkya Rahane
1138,5,Rajasthan Royals,Abhishek Raut
1139,5,Rajasthan Royals,Owais Shah
1140,5,Rajasthan Royals,Pinal Shah
1141,5,Rajasthan Royals,Amit Singh
1142,5,Rajasthan Royals,Sreesanth
1143,5,Rajasthan Royals,Shaun Tait
1144,5,Rajasthan Royals,Siddharth Trivedi
1145,5,Rajasthan Royals,Shane Watson
1146,5,Rajasthan Royals,Dishant Yagnik
1147,5,Pune Warriors,Sourav Ganguly
1148,5,Pune Warriors,Michael Clarke
1149,5,Pune Warriors,Ashok Dinda
1150,5,Pune Warriors,Eklavya Dwivedi
1151,5,Pune Warriors,Callum Ferguson
1152,5,Pune Warriors,Raiphi Gomez
1153,5,Pune Warriors,Harpreet Singh
1154,5,Pune Warriors,Dheeraj Jadhav
1155,5,Pune Warriors,Kamran Khan
1156,5,Pune Warriors,Murali Kartik
1157,5,Pune Warriors,Harshad Khadiwale
1158,5,Pune Warriors,Bhuvneshwar Kumar
1159,5,Pune Warriors,Nathan McCullum
1160,5,Pune Warriors,Anustup Majumdar
1161,5,Pune Warriors,Mithun Manhas
1162,5,Pune Warriors,Angelo Mathews
1163,5,Pune Warriors,Mohnish Mishra
1164,5,Pune Warriors,Ali Murtaza
1165,5,Pune Warriors,Ashish Nehra
1166,5,Pune Warriors,Manish Pandey
1167,5,Pune Warriors,Wayne Parnell
1168,5,Pune Warriors,Sachin Rana
1169,5,Pune Warriors,Jesse Ryder
