,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams
22,Joginder Sharma,4,0,47,1,11.75,5,4,3,1,0,1,335983,1,25,Chennai Super Kings
23,Glenn McGrath,4,1,21,1,5.25,16,2,1,1,0,2,335984,1,37,Delhi Daredevils
24,Brett Geeves,4,0,41,0,10.25,8,7,0,0,0,2,335984,1,0,Delhi Daredevils
25,Farveez Maharoof,4,0,11,2,2.75,13,0,0,0,0,2,335984,1,56,Delhi Daredevils
26,Rajat Bhatia,4,0,17,2,4.25,13,1,0,1,0,2,335984,1,56,Delhi Daredevils
27,Daniel Vettori,4,0,35,1,8.75,8,3,2,0,0,2,335984,1,25,Delhi Daredevils
28,Munaf Patel,3,0,25,0,8.33,10,4,1,0,0,1,335984,1,0,Rajasthan Royals
29,Shane Watson,4,0,31,1,7.75,9,5,0,1,0,1,335984,1,25,Rajasthan Royals
30,Siddharth Trivedi,3,0,32,0,10.67,6,5,0,3,0,1,335984,1,0,Rajasthan Royals
31,Shane Warne,2,0,16,0,8,2,2,0,0,0,1,335984,1,0,Rajasthan Royals
32,Yusuf Pathan,2.1,0,17,0,7.85,4,2,0,1,0,1,335984,1,0,Rajasthan Royals
33,Dinesh Salunkhe,1,0,11,0,11,0,0,0,1,0,1,335984,1,0,Rajasthan Royals
34,Praveen Kumar,4,0,29,1,7.25,11,3,1,1,0,2,335985,1,25,Bangalore Royal Challengers
35,Zaheer Khan,4,0,17,2,4.25,14,2,0,0,0,2,335985,1,56,Bangalore Royal Challengers
36,Jacques Kallis,3,0,43,0,14.33,3,7,1,2,0,2,335985,1,-6,Bangalore Royal Challengers
37,Vinay Kumar,4,0,41,0,10.25,9,3,3,0,0,2,335985,1,0,Bangalore Royal Challengers
38,Balachandra Akhil,3,0,17,2,5.67,8,2,0,0,0,2,335985,1,50,Bangalore Royal Challengers
39,Sunil Joshi,2,0,10,0,5,5,1,0,0,0,2,335985,1,0,Bangalore Royal Challengers
40,Ashish Nehra,4,0,45,1,11.25,7,5,2,2,0,1,335985,1,25,Mumbai Indians
41,Shaun Pollock,4,0,17,0,4.25,10,1,0,0,0,1,335985,1,6,Mumbai Indians
42,Dhawal Kulkarni,2.4,0,19,1,7.13,8,3,0,2,0,1,335985,1,25,Mumbai Indians
43,Sanath Jayasuriya,4,0,39,1,9.75,3,2,2,0,0,1,335985,1,25,Mumbai Indians
44,Harbhajan Singh,4,0,36,2,9,6,2,2,1,0,1,335985,1,50,Mumbai Indians
45,Abhishek Nayar,1,0,10,0,10,2,2,0,0,0,1,335985,1,0,Mumbai Indians
46,Ashok Dinda,3,0,18,1,6,9,1,0,0,1,2,335986,1,25,Kolkata Knight Riders
47,Ishant Sharma,3,1,9,1,3,13,0,0,3,0,2,335986,1,43,Kolkata Knight Riders
48,Ajit Agarkar,2,0,19,2,9.5,6,1,2,0,0,2,335986,1,50,Kolkata Knight Riders
49,Murali Kartik,3.4,0,17,3,4.64,14,3,0,0,0,2,335986,1,85,Kolkata Knight Riders
50,Mohammad Hafeez,4,0,8,1,2,17,0,0,0,1,2,335986,1,31,Kolkata Knight Riders
51,David Hussey,3,0,35,1,11.67,7,1,4,1,0,2,335986,1,25,Kolkata Knight Riders
52,Chaminda Vaas,3,0,9,2,3,12,1,0,0,0,1,335986,1,56,Deccan Chargers
53,RP Singh,3,0,15,1,5,10,2,0,0,0,1,335986,1,25,Deccan Chargers
54,Scott Styris,4,0,19,0,4.75,15,1,1,1,0,1,335986,1,6,Deccan Chargers
55,Sanjay Bangar,3,0,19,0,6.33,13,1,1,2,0,1,335986,1,0,Deccan Chargers
56,Andrew Symonds,2,0,20,0,10,4,0,1,2,1,1,335986,1,0,Deccan Chargers
57,Pragyan Ojha,4,0,18,2,4.5,13,0,1,2,0,1,335986,1,56,Deccan Chargers
58,Munaf Patel,4,0,36,1,9,12,4,2,0,0,2,335987,1,25,Rajasthan Royals
59,Shane Watson,4,0,39,0,9.75,12,8,0,0,1,2,335987,1,0,Rajasthan Royals
60,Siddharth Trivedi,4,0,25,2,6.25,12,2,1,0,0,2,335987,1,50,Rajasthan Royals
61,Shane Warne,4,0,19,3,4.75,11,0,1,0,0,2,335987,1,85,Rajasthan Royals
62,Dinesh Salunkhe,2,0,21,1,10.5,5,2,1,2,0,2,335987,1,25,Rajasthan Royals
63,Pankaj Singh,1,0,12,0,12,0,2,0,0,0,2,335987,1,0,Rajasthan Royals
64,Yusuf Pathan,1,0,13,0,13,3,0,2,0,0,2,335987,1,0,Rajasthan Royals
65,Brett Lee,4,0,35,1,8.75,13,5,1,0,2,1,335987,1,25,Kings XI Punjab
66,Sreesanth,3.1,0,38,1,12,9,5,1,3,2,1,335987,1,19,Kings XI Punjab
67,James Hopes,4,0,33,1,8.25,11,2,2,1,0,1,335987,1,25,Kings XI Punjab
68,Irfan Pathan,4,0,21,1,5.25,11,2,0,2,0,1,335987,1,25,Kings XI Punjab
69,Piyush Chawla,2,0,27,0,13.5,4,3,2,0,0,1,335987,1,-6,Kings XI Punjab
70,Wilkin Mota,1,0,12,0,12,1,0,1,0,0,1,335987,1,0,Kings XI Punjab
71,Glenn McGrath,4,1,22,0,5.5,16,4,0,0,0,2,335988,1,12,Delhi Daredevils
72,Mohammad Asif,4,0,19,2,4.75,17,0,2,0,0,2,335988,1,56,Delhi Daredevils
73,Farveez Maharoof,4,0,36,2,9,10,3,2,1,0,2,335988,1,50,Delhi Daredevils
74,Yo Mahesh,4,0,35,1,8.75,7,3,1,0,1,2,335988,1,25,Delhi Daredevils
75,Rajat Bhatia,4,0,27,2,6.75,9,2,1,0,0,2,335988,1,50,Delhi Daredevils
76,Chaminda Vaas,3,0,22,0,7.33,7,3,0,1,0,1,335988,1,0,Deccan Chargers
77,RP Singh,3,0,27,1,9,7,5,0,1,0,1,335988,1,25,Deccan Chargers
78,Sanjay Bangar,2,0,30,0,15,3,3,2,1,0,1,335988,1,-6,Deccan Chargers
79,Shahid Afridi,2,0,17,0,8.5,3,0,1,0,0,1,335988,1,0,Deccan Chargers
80,Andrew Symonds,2,0,35,0,17.5,4,4,3,0,0,1,335988,1,-6,Deccan Chargers
81,Pragyan Ojha,1,0,7,0,7,3,0,0,2,0,1,335988,1,0,Deccan Chargers
82,Shaun Pollock,3,0,32,0,10.67,8,5,1,1,0,2,335989,1,0,Mumbai Indians
83,Ashish Nehra,4,0,35,1,8.75,12,6,0,2,1,2,335989,1,25,Mumbai Indians
84,Dhawal Kulkarni,3,0,25,1,8.33,7,4,0,0,1,2,335989,1,25,Mumbai Indians
85,Harbhajan Singh,2,0,14,0,7,3,0,1,0,0,2,335989,1,0,Mumbai Indians
86,Dwayne Bravo,3,0,36,0,12,4,5,1,1,0,2,335989,1,-6,Mumbai Indians
87,Vikrant Yeligati,1,0,16,0,16,1,2,0,1,0,2,335989,1,0,Mumbai Indians
88,Abhishek Nayar,1,0,14,0,14,2,0,2,0,0,2,335989,1,0,Mumbai Indians
89,Musavir Khote,3,0,29,2,9.67,4,2,1,0,0,2,335989,1,50,Mumbai Indians
90,Jacob Oram,4,0,53,0,13.25,7,6,3,2,0,1,335989,1,-6,Chennai Super Kings
91,Manpreet Gony,4,1,18,1,4.5,14,2,0,0,1,1,335989,1,43,Chennai Super Kings
92,Joginder Sharma,4,0,29,2,7.25,8,3,0,0,1,1,335989,1,50,Chennai Super Kings
93,Palani  Amarnath,4,0,57,1,14.25,6,6,3,0,0,1,335989,1,19,Chennai Super Kings
94,Muttiah Muralitharan,4,0,40,2,10,5,2,2,4,0,1,335989,1,50,Chennai Super Kings
95,Munaf Patel,4,0,55,0,13.75,7,11,0,2,0,2,335990,1,-6,Rajasthan Royals
96,Shane Watson,4,0,32,1,8,13,6,0,2,0,2,335990,1,25,Rajasthan Royals
97,Yusuf Pathan,2,0,20,2,10,6,1,2,0,0,2,335990,1,50,Rajasthan Royals
98,Pankaj Singh,2,0,14,0,7,4,0,1,0,0,2,335990,1,0,Rajasthan Royals
99,Siddharth Trivedi,3,0,37,0,12.33,2,3,2,0,1,2,335990,1,-6,Rajasthan Royals
100,Shane Warne,4,0,47,2,11.75,3,3,3,1,0,2,335990,1,50,Rajasthan Royals
101,Dinesh Salunkhe,1,0,9,0,9,2,0,1,0,0,2,335990,1,0,Rajasthan Royals
102,Chaminda Vaas,4,0,42,1,10.5,8,5,2,0,0,1,335990,1,25,Deccan Chargers
103,RP Singh,4,0,44,1,11,10,4,3,1,1,1,335990,1,25,Deccan Chargers
104,Pragyan Ojha,2,0,23,0,11.5,3,3,1,0,0,1,335990,1,0,Deccan Chargers
105,Doddapaneni Kalyankrishna,3,0,30,1,10,4,2,2,0,0,1,335990,1,25,Deccan Chargers
106,Shahid Afridi,4,0,28,3,7,9,2,1,1,0,1,335990,1,79,Deccan Chargers
107,Andrew Symonds,2.5,0,46,0,16.24,3,2,5,0,0,1,335990,1,-6,Deccan Chargers
108,Shaun Pollock,4,0,40,1,10,8,5,1,1,0,2,335991,1,25,Mumbai Indians
109,Ashish Nehra,3,0,22,2,7.33,7,2,0,0,0,2,335991,1,50,Mumbai Indians
110,Dhawal Kulkarni,4,0,37,2,9.25,10,3,2,1,1,2,335991,1,50,Mumbai Indians
111,Harbhajan Singh,4,0,32,3,8,9,4,0,1,0,2,335991,1,79,Mumbai Indians
112,Dwayne Bravo,3,0,27,0,9,6,2,1,0,0,2,335991,1,0,Mumbai Indians
113,Musavir Khote,2,0,22,0,11,2,2,1,0,0,2,335991,1,0,Mumbai Indians
114,Brett Lee,4,0,9,1,2.25,18,1,0,0,0,1,335991,1,31,Kings XI Punjab
115,Irfan Pathan,4,1,19,2,4.75,15,1,1,2,0,1,335991,1,68,Kings XI Punjab
116,Vikram Singh,4,0,40,1,10,10,5,2,1,0,1,335991,1,25,Kings XI Punjab
117,Sreesanth,4,0,31,2,7.75,12,3,1,0,2,1,335991,1,50,Kings XI Punjab
118,Piyush Chawla,4,0,16,2,4,15,2,0,1,0,1,335991,1,56,Kings XI Punjab
119,Shane Watson,4,0,20,2,5,15,3,0,0,1,2,335992,1,50,Rajasthan Royals
120,Sohail Tanvir,4,0,31,0,7.75,14,3,2,1,0,2,335992,1,0,Rajasthan Royals
121,Munaf Patel,3,0,20,2,6.67,9,2,1,0,0,2,335992,1,50,Rajasthan Royals
122,Siddharth Trivedi,4,0,29,1,7.25,12,3,1,2,0,2,335992,1,25,Rajasthan Royals
123,Shane Warne,4,1,23,1,5.75,15,1,2,0,0,2,335992,1,37,Rajasthan Royals
124,Yusuf Pathan,1,0,10,0,10,1,0,1,0,0,2,335992,1,0,Rajasthan Royals
125,Praveen Kumar,3,0,42,1,14,5,8,1,0,0,1,335992,1,19,Bangalore Royal Challengers
126,Zaheer Khan,4,0,24,1,6,15,5,0,0,0,1,335992,1,25,Bangalore Royal Challengers
127,Vinay Kumar,2,0,15,0,7.5,4,2,0,1,0,1,335992,1,0,Bangalore Royal Challengers
128,Anil Kumble,4,0,22,0,5.5,10,2,0,1,0,1,335992,1,0,Bangalore Royal Challengers
129,Jacques Kallis,1,0,7,0,7,2,1,0,0,0,1,335992,1,0,Bangalore Royal Challengers
130,Sunil Joshi,3.1,0,27,1,8.53,9,4,1,0,0,1,335992,1,25,Bangalore Royal Challengers
131,Jacob Oram,4,0,32,3,8,9,3,1,0,0,2,335993,1,79,Chennai Super Kings
132,Manpreet Gony,4,0,40,2,10,9,4,2,0,1,2,335993,1,50,Chennai Super Kings
