,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams
915,Dwayne Smith,1,0,8,0,8,4,0,1,0,0,1,392201,2,0,Deccan Chargers
916,Venugopal Rao,2,0,20,0,10,5,2,1,1,0,1,392201,2,0,Deccan Chargers
917,Dimitri Mascarenhas,3.2,0,26,0,7.8,10,2,1,0,0,2,392202,2,0,Rajasthan Royals
918,Yusuf Pathan,3,0,17,2,5.67,9,1,1,0,0,2,392202,2,50,Rajasthan Royals
919,Kamran Khan,2.4,0,35,0,13.13,4,2,3,0,1,2,392202,2,-6,Rajasthan Royals
920,Munaf Patel,4,0,25,2,6.25,10,2,1,0,0,2,392202,2,50,Rajasthan Royals
921,Siddharth Trivedi,3,0,35,0,11.67,3,5,0,1,0,2,392202,2,0,Rajasthan Royals
922,Shane Warne,4,0,24,1,6,11,3,0,1,0,2,392202,2,25,Rajasthan Royals
923,Sudeep Tyagi,2,0,8,0,4,8,1,0,1,0,1,392202,2,6,Chennai Super Kings
924,Albie Morkel,4,0,21,2,5.25,10,2,0,0,0,1,392202,2,50,Chennai Super Kings
925,Jacob Oram,4,0,27,2,6.75,8,2,1,0,0,1,392202,2,50,Chennai Super Kings
926,Muttiah Muralitharan,4,0,33,0,8.25,9,3,1,1,0,1,392202,2,0,Chennai Super Kings
927,Suresh Raina,2,0,11,1,5.5,5,1,0,0,0,1,392202,2,25,Chennai Super Kings
928,Lakshmipathy Balaji,3.3,0,21,4,6,9,2,0,1,0,1,392202,2,108,Chennai Super Kings
929,Ishant Sharma,4,0,24,1,6,11,2,0,2,1,2,392203,2,25,Kolkata Knight Riders
930,Ashok Dinda,3,0,27,1,9,6,1,2,1,0,2,392203,2,25,Kolkata Knight Riders
931,Laxmi Shukla,3,0,25,0,8.33,7,1,2,0,0,2,392203,2,0,Kolkata Knight Riders
932,Murali Kartik,3,0,20,1,6.67,8,1,1,0,0,2,392203,2,25,Kolkata Knight Riders
933,Ajit Agarkar,1,0,12,1,12,3,1,1,1,0,2,392203,2,25,Kolkata Knight Riders
934,Chris Gayle,4,0,21,1,5.25,10,1,0,1,0,2,392203,2,25,Kolkata Knight Riders
935,Brad Hodge,2,0,13,1,6.5,2,1,0,0,0,2,392203,2,25,Kolkata Knight Riders
936,Zaheer Khan,4,0,31,3,7.75,10,3,1,1,1,1,392203,2,79,Mumbai Indians
937,Graham Napier,4,0,27,1,6.75,9,2,1,0,0,1,392203,2,25,Mumbai Indians
938,Harbhajan Singh,4,0,24,0,6,12,3,0,0,0,1,392203,2,0,Mumbai Indians
939,Lasith Malinga,4,0,23,0,5.75,8,1,0,2,0,1,392203,2,0,Mumbai Indians
940,Sanath Jayasuriya,1,0,13,0,13,0,0,1,2,0,1,392203,2,0,Mumbai Indians
941,Abhishek Nayar,3,0,20,1,6.67,5,1,0,1,0,1,392203,2,25,Mumbai Indians
942,Irfan Pathan,4,0,19,2,4.75,14,1,1,0,0,2,392204,2,56,Kings XI Punjab
943,Vikramjeet Malik,3,0,29,0,9.67,5,2,1,1,0,2,392204,2,0,Kings XI Punjab
944,Yusuf Abdulla,4,1,36,4,9,13,4,2,1,0,2,392204,2,120,Kings XI Punjab
945,Ramesh Powar,1,0,8,0,8,1,1,0,0,0,2,392204,2,0,Kings XI Punjab
946,Piyush Chawla,4,0,29,0,7.25,8,2,1,1,0,2,392204,2,0,Kings XI Punjab
947,Yuvraj Singh,4,0,22,3,5.5,13,3,0,1,0,2,392204,2,79,Kings XI Punjab
948,Praveen Kumar,4,0,27,2,6.75,13,4,0,2,0,1,392204,2,50,Royal Challengers Bangalore
949,Jacques Kallis,3,0,19,0,6.33,8,2,0,0,0,1,392204,2,0,Royal Challengers Bangalore
950,Jesse Ryder,4,0,24,0,6,13,2,1,0,0,1,392204,2,0,Royal Challengers Bangalore
951,Roelof van der Merwe,3,0,22,2,7.33,9,2,1,1,0,1,392204,2,50,Royal Challengers Bangalore
952,Anil Kumble,4,0,25,2,6.25,12,0,2,0,0,1,392204,2,50,Royal Challengers Bangalore
953,KP Appanna,2,0,10,0,5,5,1,0,0,0,1,392204,2,0,Royal Challengers Bangalore
954,Yusuf Pathan,4,0,19,1,4.75,15,3,0,0,0,2,392205,2,31,Rajasthan Royals
955,Munaf Patel,2,0,23,0,11.5,6,2,2,0,0,2,392205,2,0,Rajasthan Royals
956,Ravindra Jadeja,4,0,22,1,5.5,9,1,0,3,0,2,392205,2,25,Rajasthan Royals
957,Shane Harwood,4,0,25,2,6.25,13,3,0,0,0,2,392205,2,50,Rajasthan Royals
958,Shane Warne,3,0,29,0,9.67,5,1,2,1,0,2,392205,2,0,Rajasthan Royals
959,Abhishek Raut,1,0,7,0,7,2,1,0,0,0,2,392205,2,0,Rajasthan Royals
960,Siddharth Trivedi,2,0,13,1,6.5,4,0,1,0,0,2,392205,2,25,Rajasthan Royals
961,Fidel Edwards,3.4,0,17,1,4.64,14,2,0,1,0,1,392205,2,31,Deccan Chargers
962,RP Singh,4,1,18,2,4.5,15,2,0,0,1,1,392205,2,68,Deccan Chargers
963,Dwayne Smith,2,0,21,0,10.5,4,4,0,0,0,1,392205,2,0,Deccan Chargers
964,Rohit Sharma,2,0,14,0,7,3,1,0,1,0,1,392205,2,0,Deccan Chargers
965,Pragyan Ojha,4,0,27,1,6.75,9,2,1,1,0,1,392205,2,25,Deccan Chargers
966,Venugopal Rao,2,0,23,2,11.5,4,1,2,0,0,1,392205,2,50,Deccan Chargers
967,Shoaib Ahmed,2,0,19,0,9.5,3,0,2,0,0,1,392205,2,0,Deccan Chargers
968,Dirk Nannes,4,0,27,3,6.75,12,4,0,2,0,2,392206,2,79,Delhi Daredevils
969,Ashish Nehra,4,0,27,3,6.75,11,2,1,2,0,2,392206,2,79,Delhi Daredevils
970,Pradeep Sangwan,3,0,41,1,13.67,5,5,2,1,0,2,392206,2,19,Delhi Daredevils
971,Tillakaratne Dilshan,3,0,23,0,7.67,4,1,1,0,0,2,392206,2,0,Delhi Daredevils
972,Amit Mishra,3,0,24,0,8,6,2,1,0,0,2,392206,2,0,Delhi Daredevils
973,Rajat Bhatia,3,0,17,2,5.67,7,1,0,0,0,2,392206,2,50,Delhi Daredevils
974,Albie Morkel,4,0,32,1,8,10,5,0,0,0,1,392206,2,25,Chennai Super Kings
975,Sudeep Tyagi,3,0,18,2,6,11,1,1,0,1,1,392206,2,50,Chennai Super Kings
976,Shadab Jakati,4,0,24,4,6,12,3,0,0,0,1,392206,2,108,Chennai Super Kings
977,Muttiah Muralitharan,4,0,22,1,5.5,10,2,0,0,0,1,392206,2,25,Chennai Super Kings
978,Suresh Raina,1,0,7,0,7,3,1,0,0,0,1,392206,2,0,Chennai Super Kings
979,Lakshmipathy Balaji,3,0,26,0,8.67,6,3,1,0,0,1,392206,2,0,Chennai Super Kings
980,Jacob Oram,1,0,14,0,14,2,0,2,0,0,1,392206,2,0,Chennai Super Kings
981,Ramesh Powar,2,0,8,0,4,6,0,0,1,0,2,392207,2,6,Kings XI Punjab
982,Irfan Pathan,4,0,37,0,9.25,10,5,1,1,0,2,392207,2,0,Kings XI Punjab
983,Yusuf Abdulla,4,0,33,1,8.25,9,4,1,0,0,2,392207,2,25,Kings XI Punjab
984,Vikramjeet Malik,4,0,23,0,5.75,10,2,0,0,0,2,392207,2,0,Kings XI Punjab
985,Piyush Chawla,4,0,27,2,6.75,12,2,1,1,0,2,392207,2,50,Kings XI Punjab
986,Yuvraj Singh,2,0,22,0,11,2,3,0,0,0,2,392207,2,0,Kings XI Punjab
987,Ishant Sharma,4,0,27,2,6.75,10,4,0,0,0,1,392207,2,50,Kolkata Knight Riders
988,Ashok Dinda,2,0,26,0,13,4,0,3,2,0,1,392207,2,-6,Kolkata Knight Riders
989,Chris Gayle,3,0,20,0,6.67,7,1,1,0,0,1,392207,2,0,Kolkata Knight Riders
990,Ajit Agarkar,4,0,29,1,7.25,8,4,0,0,0,1,392207,2,25,Kolkata Knight Riders
991,Laxmi Shukla,1,0,8,0,8,3,1,0,1,0,1,392207,2,0,Kolkata Knight Riders
992,Sourav Ganguly,1,0,9,0,9,1,1,0,0,0,1,392207,2,0,Kolkata Knight Riders
993,Brad Hodge,2,0,13,1,6.5,4,1,0,1,0,1,392207,2,25,Kolkata Knight Riders
994,Murali Kartik,3,0,20,0,6.67,6,1,0,2,0,1,392207,2,0,Kolkata Knight Riders
995,Praveen Kumar,3,1,15,0,5,10,2,0,0,0,2,392208,2,12,Royal Challengers Bangalore
996,Jacques Kallis,4,0,23,0,5.75,11,2,0,1,0,2,392208,2,0,Royal Challengers Bangalore
997,Dillon du Preez,4,1,32,3,8,12,3,1,0,1,2,392208,2,91,Royal Challengers Bangalore
998,Vinay Kumar,4,0,32,0,8,7,4,0,0,0,2,392208,2,0,Royal Challengers Bangalore
999,Anil Kumble,2,0,18,0,9,3,2,0,0,0,2,392208,2,0,Royal Challengers Bangalore
1000,Roelof van der Merwe,3,0,27,1,9,6,0,2,0,0,2,392208,2,25,Royal Challengers Bangalore
1001,Zaheer Khan,2,0,12,1,6,9,2,0,2,0,1,392208,2,25,Mumbai Indians
1002,Dwayne Bravo,3,0,32,0,10.67,4,3,1,1,0,1,392208,2,0,Mumbai Indians
1003,Lasith Malinga,3.1,1,24,0,7.58,10,1,2,0,0,1,392208,2,12,Mumbai Indians
1004,Abhishek Nayar,4,0,26,0,6.5,11,2,0,4,0,1,392208,2,0,Mumbai Indians
1005,Harbhajan Singh,2,0,14,0,7,5,2,0,0,0,1,392208,2,0,Mumbai Indians
1006,Sachin Tendulkar,2,0,21,0,10.5,2,3,0,0,0,1,392208,2,0,Mumbai Indians
1007,Sanath Jayasuriya,2,0,20,0,10,3,1,1,0,0,1,392208,2,0,Mumbai Indians
1008,Ryan Harris,4,0,39,0,9.75,7,7,0,0,0,2,392209,2,0,Deccan Chargers
1009,RP Singh,4,0,36,1,9,9,4,1,2,0,2,392209,2,25,Deccan Chargers
1010,Dwayne Smith,2,0,21,0,10.5,4,0,2,1,0,2,392209,2,0,Deccan Chargers
1011,Rohit Sharma,1,0,8,0,8,3,0,1,0,0,2,392209,2,0,Deccan Chargers
1012,Shoaib Ahmed,2,0,14,1,7,4,2,0,0,0,2,392209,2,25,Deccan Chargers
1013,Pragyan Ojha,4,0,26,0,6.5,7,0,1,1,0,2,392209,2,0,Deccan Chargers
1014,Tirumalasetti Suman,3,0,29,1,9.67,3,1,2,0,0,2,392209,2,25,Deccan Chargers
1015,Albie Morkel,3,1,24,2,8,11,1,2,0,1,1,392209,2,62,Chennai Super Kings
1016,Sudeep Tyagi,2,0,9,1,4.5,9,0,1,1,0,1,392209,2,31,Chennai Super Kings
1017,Lakshmipathy Balaji,1,0,18,0,18,1,1,2,0,0,1,392209,2,0,Chennai Super Kings
1018,Shadab Jakati,4,0,22,4,5.5,10,1,1,0,0,1,392209,2,108,Chennai Super Kings
1019,Muttiah Muralitharan,3,0,11,2,3.67,11,1,0,1,0,1,392209,2,56,Chennai Super Kings
1020,Suresh Raina,1.4,0,12,1,7.2,5,2,0,0,0,1,392209,2,25,Chennai Super Kings
1021,Ramesh Powar,3,0,33,1,11,7,2,3,0,0,2,392210,2,25,Kings XI Punjab
1022,Irfan Pathan,4,0,40,1,10,8,6,1,0,0,2,392210,2,25,Kings XI Punjab
1023,Sreesanth,4,0,44,0,11,7,4,1,0,3,2,392210,2,0,Kings XI Punjab
1024,Yusuf Abdulla,3,0,44,0,14.67,5,6,2,0,1,2,392210,2,-6,Kings XI Punjab
1025,Piyush Chawla,4,0,30,2,7.5,12,4,1,0,0,2,392210,2,50,Kings XI Punjab
1026,Yuvraj Singh,1,0,9,0,9,0,1,0,0,0,2,392210,2,0,Kings XI Punjab
1027,Karan Goel,1,0,11,0,11,1,2,0,0,0,2,392210,2,0,Kings XI Punjab
1028,Amit Singh,4,0,9,3,2.25,18,1,0,0,0,1,392210,2,85,Rajasthan Royals
1029,Shane Harwood,4,0,26,1,6.5,15,0,1,6,0,1,392210,2,25,Rajasthan Royals
1030,Yusuf Pathan,4,0,28,1,7,10,4,0,0,0,1,392210,2,25,Rajasthan Royals
1031,Siddharth Trivedi,4,0,20,1,5,13,3,0,0,0,1,392210,2,25,Rajasthan Royals
1032,Shane Warne,3,0,38,2,12.67,6,3,3,2,0,1,392210,2,44,Rajasthan Royals
1033,Ravindra Jadeja,1,0,6,0,6,2,0,0,0,0,1,392210,2,0,Rajasthan Royals
1034,Dirk Nannes,4,0,49,0,12.25,4,3,3,1,0,2,392211,2,-6,Delhi Daredevils
1035,Ashish Nehra,4,0,23,1,5.75,11,2,0,2,0,2,392211,2,25,Delhi Daredevils
1036,Amit Mishra,4,1,18,0,4.5,14,2,0,0,0,2,392211,2,18,Delhi Daredevils
1037,Pradeep Sangwan,4,0,29,2,7.25,11,3,1,0,1,2,392211,2,50,Delhi Daredevils
1038,Rajat Bhatia,4,0,35,0,8.75,4,4,0,0,0,2,392211,2,0,Delhi Daredevils
1039,Ishant Sharma,4,0,43,0,10.75,10,6,1,0,0,1,392211,2,0,Kolkata Knight Riders
1040,Ashok Dinda,2,0,17,0,8.5,5,1,1,0,0,1,392211,2,0,Kolkata Knight Riders
1041,Moises Henriques,4,0,36,0,9,8,5,0,0,0,1,392211,2,0,Kolkata Knight Riders
1042,Brad Hodge,2,0,18,0,9,4,1,0,2,0,1,392211,2,0,Kolkata Knight Riders
1043,Ajit Agarkar,3,0,24,1,8,7,4,0,0,0,1,392211,2,25,Kolkata Knight Riders
1044,Murali Kartik,4,0,18,0,4.5,8,0,0,0,0,1,392211,2,6,Kolkata Knight Riders
1045,Lasith Malinga,4,0,24,1,6,12,2,0,2,0,2,392212,2,25,Mumbai Indians
1046,Dhawal Kulkarni,4,0,21,1,5.25,13,2,0,2,0,2,392212,2,25,Mumbai Indians
1047,Harbhajan Singh,2,0,23,0,11.5,4,0,3,0,0,2,392212,2,0,Mumbai Indians
1048,Dwayne Bravo,3,0,16,1,5.33,9,2,0,0,0,2,392212,2,25,Mumbai Indians
1049,Rohan Raje,3,0,25,1,8.33,4,0,2,0,0,2,392212,2,25,Mumbai Indians
1050,Sanath Jayasuriya,4,0,31,1,7.75,7,2,1,0,0,2,392212,2,25,Mumbai Indians
1051,Ryan Harris,4,0,25,0,6.25,11,2,1,0,0,1,392212,2,0,Deccan Chargers
1052,RP Singh,4,0,19,2,4.75,13,2,0,1,0,1,392212,2,56,Deccan Chargers
1053,Harmeet Singh,3,0,28,0,9.33,5,4,0,0,0,1,392212,2,0,Deccan Chargers
1054,Dwayne Smith,1,0,13,0,13,3,0,2,0,0,1,392212,2,0,Deccan Chargers
1055,Shoaib Ahmed,2,0,19,0,9.5,4,3,0,0,0,1,392212,2,0,Deccan Chargers
1056,Tirumalasetti Suman,4,0,14,2,3.5,11,0,0,0,0,1,392212,2,56,Deccan Chargers
1057,Rohit Sharma,2,0,6,4,3,6,0,0,0,0,1,392212,2,114,Deccan Chargers
1058,Amit Singh,4,0,19,4,4.75,14,0,1,1,1,2,392213,2,114,Rajasthan Royals
1059,Morne Morkel,4,0,20,0,5,12,2,0,1,0,2,392213,2,0,Rajasthan Royals
1060,Munaf Patel,2,0,16,1,8,8,2,1,1,0,2,392213,2,25,Rajasthan Royals
1061,Lee Carseldine,1,0,6,1,6,4,1,0,1,0,2,392213,2,25,Rajasthan Royals
1062,Shane Warne,4,0,23,0,5.75,10,1,1,0,0,2,392213,2,0,Rajasthan Royals
1063,Ravindra Jadeja,4,0,15,3,3.75,10,0,0,0,0,2,392213,2,85,Rajasthan Royals
1064,Abhishek Raut,1,0,6,0,6,1,0,0,0,0,2,392213,2,0,Rajasthan Royals
1065,Praveen Kumar,4,0,31,0,7.75,13,4,1,1,0,1,392213,2,0,Royal Challengers Bangalore
1066,Jacques Kallis,4,0,20,1,5,12,2,0,1,0,1,392213,2,25,Royal Challengers Bangalore
1067,Dillon du Preez,3,0,24,1,8,6,3,0,0,0,1,392213,2,25,Royal Challengers Bangalore
1068,Anil Kumble,2,0,12,0,6,6,1,0,0,0,1,392213,2,0,Royal Challengers Bangalore
1069,Roelof van der Merwe,1,0,11,0,11,1,0,1,0,0,1,392213,2,0,Royal Challengers Bangalore
1070,Vinay Kumar,1,0,9,0,9,3,0,1,1,0,1,392213,2,0,Royal Challengers Bangalore
1071,Irfan Pathan,4,0,38,1,9.5,7,5,1,0,0,2,392214,2,25,Kings XI Punjab
1072,Sreesanth,4,0,37,1,9.25,10,2,3,1,0,2,392214,2,25,Kings XI Punjab
1073,Yusuf Abdulla,2,0,18,0,9,3,3,0,0,0,2,392214,2,0,Kings XI Punjab
1074,Vikram Singh,2,0,36,0,18,3,3,3,0,0,2,392214,2,-6,Kings XI Punjab
1075,Karan Goel,3,0,23,0,7.67,6,3,0,0,0,2,392214,2,0,Kings XI Punjab
1076,Piyush Chawla,3,0,28,1,9.33,10,3,2,0,0,2,392214,2,25,Kings XI Punjab
1077,Albie Morkel,3,0,36,1,12,5,4,1,1,0,1,392214,2,19,Chennai Super Kings
1078,Sudeep Tyagi,2,0,10,0,5,7,1,0,0,0,1,392214,2,0,Chennai Super Kings
1079,Manpreet Gony,1,0,19,0,19,2,0,3,0,0,1,392214,2,0,Chennai Super Kings
1080,Muttiah Muralitharan,4,0,37,0,9.25,5,2,2,1,0,1,392214,2,0,Chennai Super Kings
1081,Shadab Jakati,2,0,20,1,10,4,2,1,0,0,1,392214,2,25,Chennai Super Kings
1082,Lakshmipathy Balaji,4,0,41,1,10.25,2,3,1,1,0,1,392214,2,25,Chennai Super Kings
1083,Suresh Raina,2,0,8,0,4,4,0,0,0,0,1,392214,2,6,Chennai Super Kings
1084,Dirk Nannes,4,0,33,2,8.25,12,3,2,2,0,2,392215,2,50,Delhi Daredevils
1085,Ashish Nehra,4,0,27,2,6.75,12,3,0,3,1,2,392215,2,50,Delhi Daredevils
1086,Pradeep Sangwan,4,0,18,0,4.5,10,0,0,1,0,2,392215,2,6,Delhi Daredevils
1087,Amit Mishra,4,0,20,0,5,12,0,1,1,1,2,392215,2,0,Delhi Daredevils
1088,Rajat Bhatia,4,0,15,3,3.75,13,1,0,1,0,2,392215,2,85,Delhi Daredevils
1089,Lasith Malinga,4,0,30,1,7.5,11,2,1,3,0,1,392215,2,25,Mumbai Indians
1090,Dhawal Kulkarni,3,0,9,0,3,9,0,0,0,0,1,392215,2,6,Mumbai Indians
1091,Dwayne Bravo,1,0,2,0,2,4,0,0,0,0,1,392215,2,0,Mumbai Indians
1092,Harbhajan Singh,4,0,21,1,5.25,9,2,0,0,0,1,392215,2,25,Mumbai Indians
1093,Jean-Paul Duminy,4,0,15,1,3.75,11,0,0,1,0,1,392215,2,31,Mumbai Indians
1094,Sachin Tendulkar,1,0,19,0,19,1,3,1,0,0,1,392215,2,0,Mumbai Indians
1095,Rohan Raje,1.5,0,22,0,12,3,4,0,0,0,1,392215,2,0,Mumbai Indians
1096,Brett Lee,4,0,24,1,6,13,2,0,2,1,2,392216,2,25,Kings XI Punjab
1097,Irfan Pathan,4,0,42,0,10.5,7,3,2,1,0,2,392216,2,0,Kings XI Punjab
1098,Sreesanth,4,0,37,1,9.25,10,2,3,0,0,2,392216,2,25,Kings XI Punjab
1099,Piyush Chawla,3,0,26,1,8.67,6,1,2,0,0,2,392216,2,25,Kings XI Punjab
1100,Wilkin Mota,4,0,26,1,6.5,11,1,1,0,1,2,392216,2,25,Kings XI Punjab
1101,Yuvraj Singh,1,0,11,0,11,2,0,1,0,0,2,392216,2,0,Kings XI Punjab
1102,Ryan Harris,3,0,29,0,9.67,5,3,1,1,0,1,392216,2,0,Deccan Chargers
1103,RP Singh,2.5,0,26,0,9.18,5,4,0,0,0,1,392216,2,0,Deccan Chargers
1104,Shoaib Ahmed,3,0,25,2,8.33,5,0,2,0,0,1,392216,2,50,Deccan Chargers
1105,Rohit Sharma,2,0,12,2,6,5,1,0,0,0,1,392216,2,50,Deccan Chargers
1106,Venugopal Rao,1,0,3,0,3,3,0,0,0,0,1,392216,2,0,Deccan Chargers
1107,Tirumalasetti Suman,3,0,24,1,8,6,0,2,0,0,1,392216,2,25,Deccan Chargers
1108,Andrew Symonds,1,0,20,0,20,0,1,2,1,0,1,392216,2,0,Deccan Chargers
1109,Pragyan Ojha,4,0,24,0,6,5,1,0,1,0,1,392216,2,0,Deccan Chargers
1110,Albie Morkel,3,0,24,1,8,8,4,0,0,1,2,392217,2,25,Chennai Super Kings
1111,Sudeep Tyagi,2,0,12,0,6,5,1,0,0,0,2,392217,2,0,Chennai Super Kings
1112,Lakshmipathy Balaji,3,0,13,1,4.33,9,1,0,0,0,2,392217,2,31,Chennai Super Kings
1113,Jacob Oram,1,0,8,0,8,4,0,1,0,0,2,392217,2,0,Chennai Super Kings
1114,Muttiah Muralitharan,4,0,22,2,5.5,13,3,0,0,0,2,392217,2,50,Chennai Super Kings
1115,Shadab Jakati,4,0,35,2,8.75,10,1,3,1,0,2,392217,2,50,Chennai Super Kings
1116,Suresh Raina,3,0,21,0,7,5,1,1,0,0,2,392217,2,0,Chennai Super Kings
1117,Yusuf Pathan,4,0,28,0,7,9,3,0,1,0,1,392217,2,0,Rajasthan Royals
1118,Amit Singh,3,0,25,1,8.33,10,3,1,0,0,1,392217,2,25,Rajasthan Royals
1119,Siddharth Trivedi,3,0,23,1,7.67,7,2,1,1,0,1,392217,2,25,Rajasthan Royals
1120,Shane Harwood,2,0,22,0,11,6,3,1,1,0,1,392217,2,0,Rajasthan Royals
1121,Shane Warne,4,0,27,1,6.75,14,2,1,3,0,1,392217,2,25,Rajasthan Royals
1122,Ravindra Jadeja,2.2,0,14,0,6,6,1,0,0,0,1,392217,2,0,Rajasthan Royals
1123,Jacques Kallis,3,0,23,0,7.67,10,2,0,3,0,2,392218,2,0,Royal Challengers Bangalore
1124,Vinay Kumar,4,0,30,1,7.5,9,2,1,1,0,2,392218,2,25,Royal Challengers Bangalore
1125,Abhimanyu Mithun,4,0,42,0,10.5,7,3,2,3,0,2,392218,2,0,Royal Challengers Bangalore
1126,Anil Kumble,4,0,32,0,8,5,3,0,0,0,2,392218,2,0,Royal Challengers Bangalore
1127,Roelof van der Merwe,3,0,17,1,5.67,7,0,1,0,0,2,392218,2,25,Royal Challengers Bangalore
1128,KP Appanna,2,0,13,0,6.5,2,0,0,0,0,2,392218,2,0,Royal Challengers Bangalore
1129,Dhawal Kulkarni,4,0,24,1,6,12,3,0,0,0,1,392218,2,25,Mumbai Indians
1130,Lasith Malinga,4,0,37,1,9.25,7,2,1,5,0,1,392218,2,25,Mumbai Indians
1131,Dwayne Bravo,4,0,27,1,6.75,12,4,0,1,0,1,392218,2,25,Mumbai Indians
1132,Chetanya Nanda,4,0,32,1,8,6,0,2,0,0,1,392218,2,25,Mumbai Indians
1133,Harbhajan Singh,4,0,15,2,3.75,12,0,0,2,0,1,392218,2,56,Mumbai Indians
1134,Ashish Nehra,4,0,29,2,7.25,11,0,2,2,0,2,392219,2,50,Delhi Daredevils
1135,Dirk Nannes,4,0,15,2,3.75,15,1,0,2,0,2,392219,2,56,Delhi Daredevils
1136,Pradeep Sangwan,3,0,32,1,10.67,5,4,1,1,0,2,392219,2,25,Delhi Daredevils
1137,Tillakaratne Dilshan,4,0,18,0,4.5,11,1,0,0,0,2,392219,2,6,Delhi Daredevils
1138,Amit Mishra,4,0,14,3,3.5,16,0,1,0,1,2,392219,2,85,Delhi Daredevils
1139,Rajat Bhatia,1,0,13,0,13,0,0,1,0,0,2,392219,2,0,Delhi Daredevils
1140,Ishant Sharma,4,0,23,2,5.75,11,2,0,2,0,1,392219,2,50,Kolkata Knight Riders
1141,Moises Henriques,4,0,35,1,8.75,7,5,0,2,0,1,392219,2,25,Kolkata Knight Riders
1142,Ajit Agarkar,3,0,19,0,6.33,11,1,1,1,0,1,392219,2,0,Kolkata Knight Riders
1143,Sourav Sarkar,1.1,0,19,0,16.29,0,4,0,0,0,1,392219,2,0,Kolkata Knight Riders
1144,Brad Hodge,1,0,2,0,2,5,0,0,0,0,1,392219,2,0,Kolkata Knight Riders
1145,Murali Kartik,4,0,20,0,5,9,1,0,0,0,1,392219,2,0,Kolkata Knight Riders
1146,Morne Morkel,3,0,20,0,6.67,8,1,1,1,0,2,392220,2,0,Rajasthan Royals
1147,Munaf Patel,1,0,3,0,3,4,0,0,0,0,2,392220,2,0,Rajasthan Royals
1148,Yusuf Pathan,4,0,34,3,8.5,8,1,2,0,0,2,392220,2,79,Rajasthan Royals
1149,Siddharth Trivedi,3,0,33,1,11,3,4,1,0,0,2,392220,2,25,Rajasthan Royals
1150,Shane Warne,4,0,36,1,9,5,1,2,0,0,2,392220,2,25,Rajasthan Royals
1151,Ravindra Jadeja,4,0,26,2,6.5,9,1,1,0,0,2,392220,2,50,Rajasthan Royals
1152,Abhishek Raut,1,0,13,0,13,0,0,1,0,0,2,392220,2,0,Rajasthan Royals
1153,RP Singh,4,0,22,1,5.5,14,3,0,2,0,1,392220,2,25,Deccan Chargers
1154,Chaminda Vaas,4,0,19,2,4.75,14,2,0,1,0,1,392220,2,56,Deccan Chargers
1155,Andrew Symonds,4,0,30,0,7.5,10,3,1,0,0,1,392220,2,0,Deccan Chargers
1156,Pragyan Ojha,3.3,0,25,1,7.14,6,2,0,0,0,1,392220,2,25,Deccan Chargers
1157,Dwayne Smith,1,0,4,0,4,2,0,0,0,0,1,392220,2,0,Deccan Chargers
1158,Rohit Sharma,3,0,12,3,4,6,0,0,0,0,1,392220,2,85,Deccan Chargers
1159,Vinay Kumar,4,0,33,2,8.25,11,6,0,0,0,2,392221,2,50,Royal Challengers Bangalore
1160,Jacques Kallis,4,0,40,0,10,12,5,2,0,2,2,392221,2,0,Royal Challengers Bangalore
1161,Jesse Ryder,4,0,25,0,6.25,5,2,0,0,0,2,392221,2,0,Royal Challengers Bangalore
1162,Anil Kumble,4,0,28,1,7,10,2,1,0,0,2,392221,2,25,Royal Challengers Bangalore
1163,KP Appanna,1,0,10,0,10,1,1,0,0,0,2,392221,2,0,Royal Challengers Bangalore
1164,Balachandra Akhil,3,0,32,1,10.67,3,1,2,2,0,2,392221,2,25,Royal Challengers Bangalore
1165,Ishant Sharma,4,0,40,0,10,11,5,1,3,1,1,392221,2,0,Kolkata Knight Riders
1166,Ajantha Mendis,4,0,21,1,5.25,9,1,0,0,1,1,392221,2,25,Kolkata Knight Riders
1167,Ajit Agarkar,4,0,45,1,11.25,9,3,3,0,0,1,392221,2,25,Kolkata Knight Riders
1168,Angelo Mathews,2.2,0,31,0,13.29,3,4,1,1,0,1,392221,2,-6,Kolkata Knight Riders
1169,David Hussey,1,0,10,0,10,2,2,0,0,0,1,392221,2,0,Kolkata Knight Riders
1170,Murali Kartik,4,0,28,2,7,9,0,2,2,0,1,392221,2,50,Kolkata Knight Riders
1171,Lasith Malinga,4,0,32,1,8,15,5,0,6,1,2,392222,2,25,Mumbai Indians
1172,Dhawal Kulkarni,3,0,24,1,8,8,3,1,0,0,2,392222,2,25,Mumbai Indians
1173,Dwayne Bravo,2,0,17,0,8.5,7,0,2,1,1,2,392222,2,0,Mumbai Indians
1174,Rohan Raje,1,0,10,0,10,4,1,0,1,0,2,392222,2,0,Mumbai Indians
1175,Harbhajan Singh,4,0,9,1,2.25,15,0,0,0,0,2,392222,2,31,Mumbai Indians
1176,Jean-Paul Duminy,4,0,15,2,3.75,13,1,0,0,0,2,392222,2,56,Mumbai Indians
1177,Ajinkya Rahane,1,0,5,1,5,2,0,0,0,0,2,392222,2,25,Mumbai Indians
1178,Sanath Jayasuriya,1,0,3,0,3,3,0,0,0,0,2,392222,2,0,Mumbai Indians
