Season,Team,Player
4,Royal Challengers Bangalore,AB de Villiers
4,Royal Challengers Bangalore,Tillakaratne Dilshan
4,Royal Challengers Bangalore,Nuwan Pradeep
4,Royal Challengers Bangalore,Chidhambaram Gautam
4,Royal Challengers Bangalore,Chris Gayle
4,Royal Challengers Bangalore,Mohammad Kaif
4,Royal Challengers Bangalore,Abrar Kazi
4,Royal Challengers Bangalore,Zaheer Khan
4,Royal Challengers Bangalore,Virat Kohli
4,Royal Challengers Bangalore,Charl Langeveldt
4,Royal Challengers Bangalore,Abhimanyu Mithun
4,Royal Challengers Bangalore,Dirk Nannes
4,Royal Challengers Bangalore,Ryan Ninan
4,Royal Challengers Bangalore,Asad Pathan
4,Royal Challengers Bangalore,Luke Pomersbach
4,Royal Challengers Bangalore,Cheteshwar Pujara
4,Royal Challengers Bangalore,Rilee Rossouw
4,Royal Challengers Bangalore,Jamaluddin Syed Mohammad
4,Royal Challengers Bangalore,Saurabh Tiwary
4,Royal Challengers Bangalore,Johan van der Wath
4,Royal Challengers Bangalore,Jonathan Vandiar
4,Chennai Super Kings,MS Dhoni
4,Chennai Super Kings,Srikkanth Anirudha
4,Chennai Super Kings,Ravichandran Ashwin
4,Chennai Super Kings,S Badrinath
4,Chennai Super Kings,George Bailey
4,Chennai Super Kings,Doug Bollinger
4,Chennai Super Kings,Dwayne Bravo
4,Chennai Super Kings,Faf du Plessis
4,Chennai Super Kings,Ben Hilfenhaus
4,Chennai Super Kings,Michael Hussey
4,Chennai Super Kings,Shadab Jakati
4,Chennai Super Kings,Joginder Sharma
4,Chennai Super Kings,Suraj Randiv
4,Chennai Super Kings,Nuwan Kulasekara
4,Chennai Super Kings,Yo Mahesh
4,Chennai Super Kings,Albie Morkel
4,Chennai Super Kings,Abhinav Mukund
4,Chennai Super Kings,Suresh Raina
4,Chennai Super Kings,Wriddhiman Saha
4,Chennai Super Kings,Tim Southee
4,Chennai Super Kings,Scott Styris
4,Chennai Super Kings,Sudeep Tyagi
4,Chennai Super Kings,Kuthethurshri Vasudevadas
4,Chennai Super Kings,Ganapathi Vignesh
4,Chennai Super Kings,Murali Vijay
4,Deccan Chargers,Kumar Sangakkara
4,Deccan Chargers,Anand Rajan
4,Deccan Chargers,Ankit Sharma
4,Deccan Chargers,Ashish Reddy
4,Deccan Chargers,Akash Bhandari
4,Deccan Chargers,Bharat Chipli
4,Deccan Chargers,Dan Christian
4,Deccan Chargers,Kedar Devdhar
4,Deccan Chargers,Shikhar Dhawan
4,Deccan Chargers,Jean-Paul Duminy
4,Deccan Chargers,Manpreet Gony
4,Deccan Chargers,Harmeet Singh
4,Deccan Chargers,Ishank Jaggi
4,Deccan Chargers,Michael Lumb
4,Deccan Chargers,Chris Lynn
4,Deccan Chargers,Ishan Malhotra
4,Deccan Chargers,Amit Mishra
4,Deccan Chargers,Pragyan Ojha
4,Deccan Chargers,Kevin Pietersen
4,Deccan Chargers,Dwaraka Ravi Teja
4,Deccan Chargers,Jaydev Shah
4,Deccan Chargers,Ishant Sharma
4,Deccan Chargers,Sunny Sohal
4,Deccan Chargers,Dale Steyn
4,Deccan Chargers,Rusty Theron
4,Deccan Chargers,Cameron White
4,Deccan Chargers,Arjun Yadav
4,Delhi Daredevils,Virender Sehwag
4,Delhi Daredevils,James Hopesvice-
4,Delhi Daredevils,Varun Aaron
4,Delhi Daredevils,Ajit Agarkar
4,Delhi Daredevils,Travis Birt
4,Delhi Daredevils,Robin Bist
4,Delhi Daredevils,Unmukt Chand
4,Delhi Daredevils,Ajit  Chandila
4,Delhi Daredevils,Ashok Dinda
4,Delhi Daredevils,Aaron Finch
4,Delhi Daredevils,Robbie Frylinck
4,Delhi Daredevils,Colin Ingram
4,Delhi Daredevils,Andrew McDonald
4,Delhi Daredevils,Morne Morkel
4,Delhi Daredevils,Shahbaz Nadeem
4,Delhi Daredevils,Yogesh Nagar
4,Delhi Daredevils,Prashant Naik
4,Delhi Daredevils,Naman Ojha
4,Delhi Daredevils,Irfan Pathan
4,Delhi Daredevils,Rajesh Pawar
4,Delhi Daredevils,Aavishkar Salvi
4,Delhi Daredevils,Sridharan Sriram
4,Delhi Daredevils,Roelof van der Merwe
4,Delhi Daredevils,Venugopal Rao
4,Delhi Daredevils,Vikas Mishra
4,Delhi Daredevils,Matthew Wade
4,Delhi Daredevils,David Warner
4,Delhi Daredevils,Tejashwi Yadav
4,Delhi Daredevils,Umesh Yadav
4,Delhi Daredevils,Vivek Yadav
4,Kings XI Punjab,Adam Gilchrist
4,Kings XI Punjab,Love Ablish
4,Kings XI Punjab,Amit Yadav
4,Kings XI Punjab,Bhargav Bhatt
4,Kings XI Punjab,Bipul Sharma
4,Kings XI Punjab,Piyush Chawla
4,Kings XI Punjab,Siddharth Chitnis
4,Kings XI Punjab,Paras Dogra
4,Kings XI Punjab,Ryan Harris
4,Kings XI Punjab,David Hussey
4,Kings XI Punjab,Dinesh Karthik
4,Kings XI Punjab,Praveen Kumar
4,Kings XI Punjab,Ryan McLaren
4,Kings XI Punjab,Vikramjeet Malik
4,Kings XI Punjab,Mandeep Singh
4,Kings XI Punjab,Shaun Marsh
4,Kings XI Punjab,David Miller
4,Kings XI Punjab,Abhishek Nayar
4,Kings XI Punjab,Nathan Rimmington
4,Kings XI Punjab,Nitin Saini
4,Kings XI Punjab,Shalabh Srivastava
4,Kings XI Punjab,Sunny Singh
4,Kings XI Punjab,Paul Valthaty
4,Kings XI Punjab,Stuart Broad
4,Kings XI Punjab,Dimitri Mascarenhas
4,Kolkata Knight Riders,Gautam Gambhir
4,Kolkata Knight Riders,Sarabjit Ladda
4,Kolkata Knight Riders,Lakshmipathy Balaji
4,Kolkata Knight Riders,Rajat Bhatia
4,Kolkata Knight Riders,Manvinder  Bisla
4,Kolkata Knight Riders,Mark Boucher
4,Kolkata Knight Riders,Shreevats Goswami
4,Kolkata Knight Riders,Brad Haddin
4,Kolkata Knight Riders,Iqbal Abdulla
4,Kolkata Knight Riders,Jacques Kallis
4,Kolkata Knight Riders,Brett Lee
4,Kolkata Knight Riders,Mohammed Shami
4,Kolkata Knight Riders,Eoin Morgan
4,Kolkata Knight Riders,Yusuf Pathan
4,Kolkata Knight Riders,James Pattinson
4,Kolkata Knight Riders,Pradeep Sangwan
4,Kolkata Knight Riders,Shakib Al Hasan
4,Kolkata Knight Riders,Laxmi Shukla
4,Kolkata Knight Riders,Ryan ten Doeschate
4,Kolkata Knight Riders,Manoj Tiwary
4,Kolkata Knight Riders,Jaydev Unadkat
4,Mumbai Indians,Sachin Tendulkar
4,Mumbai Indians,Abu Nechim
4,Mumbai Indians,Aiden Blizzard
4,Mumbai Indians,Yuzvendra Chahal
4,Mumbai Indians,Dilhara Fernando
4,Mumbai Indians,James Franklin
4,Mumbai Indians,Harbhajan Singh
4,Mumbai Indians,Moises Henriques
4,Mumbai Indians,Davy Jacobs
4,Mumbai Indians,Sarul Kanwar
4,Mumbai Indians,Dhawal Kulkarni
4,Mumbai Indians,Lasith Malinga
4,Mumbai Indians,Ali Murtaza
4,Mumbai Indians,Munaf Patel
4,Mumbai Indians,Kieron Pollard
4,Mumbai Indians,Ambati Rayudu
4,Mumbai Indians,Rajagopal Sathish
4,Mumbai Indians,Rohit Sharma
4,Mumbai Indians,Tirumalasetti Suman
4,Mumbai Indians,Pawan Suyal
4,Mumbai Indians,Andrew Symonds
4,Mumbai Indians,Aditya Tare
4,Mumbai Indians,Santosh Yadav
4,Mumbai Indians,Suryakumar Yadav
4,Mumbai Indians,Clint McKay
4,Rajasthan Royals,Shane Warne
4,Rajasthan Royals,Swapnil Asnodkar
4,Rajasthan Royals,Stuart Binny
4,Rajasthan Royals,Johan Botha
4,Rajasthan Royals,Deepak Chahar
4,Rajasthan Royals,Ankeet Chavan
4,Rajasthan Royals,Aakash Chopra
4,Rajasthan Royals,Aditya Dole
4,Rajasthan Royals,Nayan Doshi
4,Rajasthan Royals,Rahul Dravid
4,Rajasthan Royals,Samad Fallah
4,Rajasthan Royals,Faiz Fazal
4,Rajasthan Royals,Ashok Menaria
4,Rajasthan Royals,Sumit Narwal
4,Rajasthan Royals,Jacob Oram
4,Rajasthan Royals,Pankaj Singh
4,Rajasthan Royals,Amit Paunikar
4,Rajasthan Royals,Ajinkya Rahane
4,Rajasthan Royals,Abhishek Raut
4,Rajasthan Royals,Dinesh Salunkhe
4,Rajasthan Royals,Pinal Shah
4,Rajasthan Royals,Amit Singh
4,Rajasthan Royals,Shaun Tait
4,Rajasthan Royals,Ross Taylor
4,Rajasthan Royals,Siddharth Trivedi
4,Rajasthan Royals,Shane Watson
4,Rajasthan Royals,Dishant Yagnik
4,Rajasthan Royals,Paul Collingwood
4,Kochi Tuskers Kerala,Mahela Jayawardene
4,Kochi Tuskers Kerala,Balachandra Akhil
4,Kochi Tuskers Kerala,Deepak Chougule
4,Kochi Tuskers Kerala,Gnaneswara Rao
4,Kochi Tuskers Kerala,Raiphi Gomez
4,Kochi Tuskers Kerala,John Hastings
4,Kochi Tuskers Kerala,Brad Hodge
4,Kochi Tuskers Kerala,Ravindra Jadeja
4,Kochi Tuskers Kerala,Kedar Jadhav
4,Kochi Tuskers Kerala,Michael Klinger
4,Kochi Tuskers Kerala,VVS Laxman
4,Kochi Tuskers Kerala,Brendon McCullum
4,Kochi Tuskers Kerala,Chandan Madan
4,Kochi Tuskers Kerala,Sushant Marathe
4,Kochi Tuskers Kerala,Muttiah Muralitharan
4,Kochi Tuskers Kerala,Steve O'Keefe
4,Kochi Tuskers Kerala,Prasanth Parameswaran
4,Kochi Tuskers Kerala,Parthiv Patel
4,Kochi Tuskers Kerala,Thisara Perera
4,Kochi Tuskers Kerala,Ramesh Powar
4,Kochi Tuskers Kerala,Padmanabhan Prasanth
4,Kochi Tuskers Kerala,Owais Shah
4,Kochi Tuskers Kerala,RP Singh
4,Kochi Tuskers Kerala,Steven Smith
4,Kochi Tuskers Kerala,Sreesanth
4,Kochi Tuskers Kerala,Tanmay Srivastava
4,Kochi Tuskers Kerala,Vinay Kumar
4,Kochi Tuskers Kerala,Yashpal Singh
4,Pune Warriors,Yuvraj Singh
4,Pune Warriors,Sourav Gangulyvice-
4,Pune Warriors,Eklavya Dwivedi
4,Pune Warriors,James Faulkner
4,Pune Warriors,Callum Ferguson
4,Pune Warriors,Ganesh Gaikwad
4,Pune Warriors,Harpreet Singh
4,Pune Warriors,Imtiaz Ahmed
4,Pune Warriors,Dheeraj Jadhav
4,Pune Warriors,Abhishek Jhunjhunwala
4,Pune Warriors,Kamran Khan
4,Pune Warriors,Murali Kartik
4,Pune Warriors,Harshad Khadiwale
4,Pune Warriors,Bhuvneshwar Kumar
4,Pune Warriors,Nathan McCullum
4,Pune Warriors,Mithun Manhas
4,Pune Warriors,Mitchell Marsh
4,Pune Warriors,Mohnish  Mishra
4,Pune Warriors,Shrikant Mundhe
4,Pune Warriors,Ashish Nehra
4,Pune Warriors,Tim Paine
4,Pune Warriors,Manish Pandey
4,Pune Warriors,Wayne Parnell
4,Pune Warriors,Sachin Rana
4,Pune Warriors,Jesse Ryder
4,Pune Warriors,Rahul Sharma
4,Pune Warriors,Graeme Smith
4,Pune Warriors,Jerome Taylor
4,Pune Warriors,Alfonso Thomas
4,Pune Warriors,Robin Uthappa
4,Pune Warriors,Shrikant Wagh
4,Pune Warriors,Angelo Mathews
5,Royal Challengers Bangalore,Daniel Vettori
5,Royal Challengers Bangalore,Mayank Agarwal
5,Royal Challengers Bangalore,KP Appanna
5,Royal Challengers Bangalore,Arun Karthik
5,Royal Challengers Bangalore,Raju Bhatkal
5,Royal Challengers Bangalore,AB de Villiers
5,Royal Challengers Bangalore,Tillakaratne Dilshan
5,Royal Challengers Bangalore,Chidhambaram Gautam
5,Royal Challengers Bangalore,Chris Gayle
5,Royal Challengers Bangalore,Mohammad Kaif
5,Royal Challengers Bangalore,Abrar Kazi
5,Royal Challengers Bangalore,Zaheer Khan
5,Royal Challengers Bangalore,Virat Kohli
5,Royal Challengers Bangalore,Charl Langeveldt
5,Royal Challengers Bangalore,Andrew McDonald
5,Royal Challengers Bangalore,Abhimanyu Mithun
5,Royal Challengers Bangalore,Muttiah Muralitharan
5,Royal Challengers Bangalore,Karun Nair
5,Royal Challengers Bangalore,Dirk Nannes
5,Royal Challengers Bangalore,Ryan Ninan
5,Royal Challengers Bangalore,Prasanth Parameswaran
5,Royal Challengers Bangalore,Harshal Patel
5,Royal Challengers Bangalore,Asad Pathan
5,Royal Challengers Bangalore,Luke Pomersbach
5,Royal Challengers Bangalore,Cheteshwar Pujara
5,Royal Challengers Bangalore,Rilee Rossouw
5,Royal Challengers Bangalore,Jamaluddin Syed Mohammad
5,Royal Challengers Bangalore,S Thiyagarajan
5,Royal Challengers Bangalore,Saurabh Tiwary
5,Royal Challengers Bangalore,Vinay Kumar
5,Royal Challengers Bangalore,Vijay Zol
5,Royal Challengers Bangalore,Sreenath Aravind
5,Chennai Super Kings,MS Dhoni
5,Chennai Super Kings,Srikkanth Anirudha
5,Chennai Super Kings,Ravichandran Ashwin
5,Chennai Super Kings,S Badrinath
5,Chennai Super Kings,George Bailey
5,Chennai Super Kings,Doug Bollinger
5,Chennai Super Kings,Dwayne Bravo
5,Chennai Super Kings,Faf du Plessis
5,Chennai Super Kings,Ben Hilfenhaus
5,Chennai Super Kings,Michael Hussey
5,Chennai Super Kings,Ravindra Jadeja
5,Chennai Super Kings,Shadab Jakati
5,Chennai Super Kings,Joginder Sharma
5,Chennai Super Kings,Suraj Randiv
5,Chennai Super Kings,Nuwan Kulasekara
5,Chennai Super Kings,Yo Mahesh
5,Chennai Super Kings,Albie Morkel
5,Chennai Super Kings,Abhinav Mukund
5,Chennai Super Kings,Suresh Raina
5,Chennai Super Kings,Wriddhiman Saha
5,Chennai Super Kings,Scott Styris
5,Chennai Super Kings,Sudeep Tyagi
5,Chennai Super Kings,Kuthethurshri Vasudevadas
5,Chennai Super Kings,Ganapathi Vignesh
5,Chennai Super Kings,Murali Vijay
5,Deccan Chargers,Kumar Sangakkara
5,Deccan Chargers,Anand Rajan
5,Deccan Chargers,Ankit Sharma
5,Deccan Chargers,Ashish Reddy
5,Deccan Chargers,Tekkami Atchuta Rao
5,Deccan Chargers,Akash Bhandari
5,Deccan Chargers,Darren Bravo
5,Deccan Chargers,Bharat Chipli
5,Deccan Chargers,Dan Christian
5,Deccan Chargers,Kedar Devdhar
5,Deccan Chargers,Shikhar Dhawan
5,Deccan Chargers,Jean-Paul Duminy
5,Deccan Chargers,Manpreet Gony
5,Deccan Chargers,Daniel Harris
5,Deccan Chargers,Ishank Jaggi
5,Deccan Chargers,Abhishek Jhunjhunwala
5,Deccan Chargers,Chris Lynn
5,Deccan Chargers,Amit Mishra
5,Deccan Chargers,Tanmay Mishra
5,Deccan Chargers,Parthiv Patel
5,Deccan Chargers,Veer Pratap Singh
5,Deccan Chargers,Syed Quadri
5,Deccan Chargers,Dwaraka Ravi Teja
5,Deccan Chargers,Akshath Reddy
5,Deccan Chargers,Biplab Samantray
5,Deccan Chargers,Sneha Kishore
5,Deccan Chargers,Sunny Sohal
5,Deccan Chargers,Tanmay Srivastava
5,Deccan Chargers,Dale Steyn
5,Deccan Chargers,TP Sudhindra
5,Deccan Chargers,Rusty Theron
5,Deccan Chargers,Cameron White
5,Deccan Chargers,Arjun Yadav
5,Deccan Chargers,Ishant Sharma
5,Delhi Daredevils,Virender Sehwag
5,Delhi Daredevils,Varun Aaron
5,Delhi Daredevils,Ajit Agarkar
5,Delhi Daredevils,Punit Bisht
5,Delhi Daredevils,Robin Bist
5,Delhi Daredevils,Gulam Bodi
5,Delhi Daredevils,Doug Bracewell
5,Delhi Daredevils,Unmukt Chand
5,Delhi Daredevils,Aaron Finch
5,Delhi Daredevils,Sunny Gupta
5,Delhi Daredevils,Mahela Jayawardene
5,Delhi Daredevils,Manprit Juneja
5,Delhi Daredevils,Glenn Maxwell
5,Delhi Daredevils,Morne Morkel
5,Delhi Daredevils,Shahbaz Nadeem
5,Delhi Daredevils,Yogesh Nagar
5,Delhi Daredevils,Prashant Naik
5,Delhi Daredevils,Pawan Negi
5,Delhi Daredevils,Naman Ojha
5,Delhi Daredevils,Zafir Patel
5,Delhi Daredevils,Irfan Pathan
5,Delhi Daredevils,Kevin Pietersen
5,Delhi Daredevils,Kuldeep Raval
5,Delhi Daredevils,Andre Russell
5,Delhi Daredevils,Aavishkar Salvi
5,Delhi Daredevils,Ross Taylor
5,Delhi Daredevils,Roelof van der Merwe
5,Delhi Daredevils,Venugopal Rao
5,Delhi Daredevils,Vikas Mishra
5,Delhi Daredevils,David Warner
5,Delhi Daredevils,Tejashwi Yadav
5,Delhi Daredevils,Umesh Yadav
5,Delhi Daredevils,Travis Birt
5,Delhi Daredevils,Colin Ingram
5,Kings XI Punjab,Adam Gilchrist
5,Kings XI Punjab,Kyle Abbott
5,Kings XI Punjab,Love Ablish
5,Kings XI Punjab,Amit Yadav
5,Kings XI Punjab,Parvinder Awana
5,Kings XI Punjab,Azhar Mahmood
5,Kings XI Punjab,Bhargav Bhatt
5,Kings XI Punjab,Bipul Sharma
5,Kings XI Punjab,Piyush Chawla
5,Kings XI Punjab,Siddharth Chitnis
5,Kings XI Punjab,Ben Cutting
5,Kings XI Punjab,Paras Dogra
5,Kings XI Punjab,James Faulkner
5,Kings XI Punjab,Gurkeerat Singh Mann
5,Kings XI Punjab,Harmeet Singh
5,Kings XI Punjab,Ryan Harris
5,Kings XI Punjab,David Hussey
5,Kings XI Punjab,Praveen Kumar
5,Kings XI Punjab,Vikramjeet Malik
5,Kings XI Punjab,Mandeep Singh
5,Kings XI Punjab,Shaun Marsh
5,Kings XI Punjab,Dimitri Mascarenhas
5,Kings XI Punjab,David Miller
5,Kings XI Punjab,Abhishek Nayar
5,Kings XI Punjab,Ramesh Powar
5,Kings XI Punjab,Nathan Rimmington
5,Kings XI Punjab,Nitin Saini
5,Kings XI Punjab,Shalabh Srivastava
5,Kings XI Punjab,Sunny Singh
5,Kings XI Punjab,Paul Valthaty
5,Kings XI Punjab,Stuart Broad
5,Kings XI Punjab,Rajagopal Sathish
5,Kolkata Knight Riders,Gautam Gambhir
5,Kolkata Knight Riders,Sarabjit Ladda
5,Kolkata Knight Riders,Lakshmipathy Balaji
5,Kolkata Knight Riders,Rajat Bhatia
5,Kolkata Knight Riders,Manvinder  Bisla
5,Kolkata Knight Riders,Debabrata Das
5,Kolkata Knight Riders,Marchant de Lange
5,Kolkata Knight Riders,Brad Haddin
5,Kolkata Knight Riders,Iqbal Abdulla
5,Kolkata Knight Riders,Chirag Jani
5,Kolkata Knight Riders,Jacques Kallis
5,Kolkata Knight Riders,Brett Lee
5,Kolkata Knight Riders,Brendon McCullum
5,Kolkata Knight Riders,Mohammed Shami
5,Kolkata Knight Riders,Eoin Morgan
5,Kolkata Knight Riders,Sunil Narine
5,Kolkata Knight Riders,Yusuf Pathan
5,Kolkata Knight Riders,James Pattinson
5,Kolkata Knight Riders,Sanju Samson
5,Kolkata Knight Riders,Pradeep Sangwan
5,Kolkata Knight Riders,Iresh Saxena
5,Kolkata Knight Riders,Shakib Al Hasan
5,Kolkata Knight Riders,Laxmi Shukla
5,Kolkata Knight Riders,Ryan ten Doeschate
5,Kolkata Knight Riders,Manoj Tiwary
5,Kolkata Knight Riders,Jaydev Unadkat
5,Mumbai Indians,Harbhajan Singh
5,Mumbai Indians,Abu Nechim
5,Mumbai Indians,Amitoze Singh
5,Mumbai Indians,Aiden Blizzard
5,Mumbai Indians,Yuzvendra Chahal
5,Mumbai Indians,James Franklin
5,Mumbai Indians,Herschelle Gibbs
5,Mumbai Indians,Davy Jacobs
5,Mumbai Indians,Dinesh Karthik
5,Mumbai Indians,Kuldeep Yadav
5,Mumbai Indians,Dhawal Kulkarni
5,Mumbai Indians,Richard Levi
5,Mumbai Indians,Clint McKay
5,Mumbai Indians,Lasith Malinga
5,Mumbai Indians,Sushant Marathe
5,Mumbai Indians,Sujit Nayak
5,Mumbai Indians,Pragyan Ojha
5,Mumbai Indians,Munaf Patel
5,Mumbai Indians,Thisara Perera
5,Mumbai Indians,Robin Peterson
5,Mumbai Indians,Kieron Pollard
5,Mumbai Indians,Ambati Rayudu
5,Mumbai Indians,Jaydev Shah
5,Mumbai Indians,Rohit Sharma
5,Mumbai Indians,Rahul Shukla
5,Mumbai Indians,RP Singh
5,Mumbai Indians,Dwayne Smith
5,Mumbai Indians,Tirumalasetti Suman
5,Mumbai Indians,Pawan Suyal
5,Mumbai Indians,Aditya Tare
5,Mumbai Indians,Sachin Tendulkar
5,Mumbai Indians,Apoorv Wankhade
5,Mumbai Indians,Suryakumar Yadav
5,Mumbai Indians,Mitchell Johnson
5,Rajasthan Royals,Rahul Dravid
5,Rajasthan Royals,Stuart Binny
5,Rajasthan Royals,Johan Botha
5,Rajasthan Royals,Deepak Chahar
5,Rajasthan Royals,Ajit  Chandila
5,Rajasthan Royals,Dinesh Chandimal
5,Rajasthan Royals,Ankeet Chavan
5,Rajasthan Royals,Aakash Chopra
5,Rajasthan Royals,Paul Collingwood
5,Rajasthan Royals,Kevon Cooper
5,Rajasthan Royals,Aditya Dole
5,Rajasthan Royals,Samad Fallah
5,Rajasthan Royals,Faiz Fazal
5,Rajasthan Royals,Shreevats Goswami
5,Rajasthan Royals,Brad Hodge
5,Rajasthan Royals,Brad Hogg
5,Rajasthan Royals,Ashok Menaria
5,Rajasthan Royals,Sumit Narwal
5,Rajasthan Royals,Pankaj Singh
5,Rajasthan Royals,Amit Paunikar
5,Rajasthan Royals,Ajinkya Rahane
5,Rajasthan Royals,Abhishek Raut
5,Rajasthan Royals,Owais Shah
5,Rajasthan Royals,Pinal Shah
5,Rajasthan Royals,Amit Singh
5,Rajasthan Royals,Sreesanth
5,Rajasthan Royals,Shaun Tait
5,Rajasthan Royals,Siddharth Trivedi
5,Rajasthan Royals,Shane Watson
5,Rajasthan Royals,Dishant Yagnik
5,Pune Warriors,Sourav Ganguly
5,Pune Warriors,Michael Clarke
5,Pune Warriors,Ashok Dinda
5,Pune Warriors,Eklavya Dwivedi
5,Pune Warriors,Callum Ferguson
5,Pune Warriors,Raiphi Gomez
5,Pune Warriors,Harpreet Singh
5,Pune Warriors,Dheeraj Jadhav
5,Pune Warriors,Kamran Khan
5,Pune Warriors,Murali Kartik
5,Pune Warriors,Harshad Khadiwale
5,Pune Warriors,Bhuvneshwar Kumar
5,Pune Warriors,Nathan McCullum
5,Pune Warriors,Anustup Majumdar
5,Pune Warriors,Mithun Manhas
5,Pune Warriors,Angelo Mathews
5,Pune Warriors,Mohnish  Mishra
5,Pune Warriors,Ali Murtaza
5,Pune Warriors,Ashish Nehra
5,Pune Warriors,Manish Pandey
5,Pune Warriors,Wayne Parnell
5,Pune Warriors,Sachin Rana
5,Pune Warriors,Jesse Ryder
5,Pune Warriors,Marlon Samuels
5,Pune Warriors,Rahul Sharma
5,Pune Warriors,Graeme Smith
5,Pune Warriors,Steven Smith
5,Pune Warriors,Tamim Iqbal
5,Pune Warriors,Alfonso Thomas
5,Pune Warriors,Krishnakant  Upadhyay
5,Pune Warriors,Robin Uthappa
5,Pune Warriors,Shrikant Wagh
5,Pune Warriors,Luke Wright
5,Pune Warriors,James Hopes
5,Pune Warriors,Mitchell Marsh
5,Pune Warriors,Yuvraj Singh
6,Royal Challengers Bangalore,Virat Kohli
6,Royal Challengers Bangalore,Mayank Agarwal
6,Royal Challengers Bangalore,KP Appanna
6,Royal Challengers Bangalore,Sreenath Aravind
6,Royal Challengers Bangalore,Arun Karthik
6,Royal Challengers Bangalore,Chris Barnwell
6,Royal Challengers Bangalore,Dan Christian
6,Royal Challengers Bangalore,AB de Villiers
6,Royal Challengers Bangalore,Tillakaratne Dilshan
6,Royal Challengers Bangalore,Chris Gayle
6,Royal Challengers Bangalore,Moises Henriques
6,Royal Challengers Bangalore,Sheldon Jackson
6,Royal Challengers Bangalore,Murali Kartik
6,Royal Challengers Bangalore,Zaheer Khan
6,Royal Challengers Bangalore,Andrew McDonald
6,Royal Challengers Bangalore,Abhimanyu Mithun
6,Royal Challengers Bangalore,Abhinav Mukund
6,Royal Challengers Bangalore,Muttiah Muralitharan
6,Royal Challengers Bangalore,Karun Nair
6,Royal Challengers Bangalore,Pankaj Singh
6,Royal Challengers Bangalore,Prasanth Parameswaran
6,Royal Challengers Bangalore,Harshal Patel
6,Royal Challengers Bangalore,Cheteshwar Pujara
6,Royal Challengers Bangalore,KL Rahul
6,Royal Challengers Bangalore,Ravi Rampaul
6,Royal Challengers Bangalore,Sandeep Warrier
6,Royal Challengers Bangalore,RP Singh
6,Royal Challengers Bangalore,Sunny Sohal
6,Royal Challengers Bangalore,Jamaluddin Syed Mohammad
6,Royal Challengers Bangalore,Saurabh Tiwary
6,Royal Challengers Bangalore,Jaydev Unadkat
6,Royal Challengers Bangalore,Daniel Vettori
6,Royal Challengers Bangalore,Vinay Kumar
6,Royal Challengers Bangalore,Vijay Zol
6,Chennai Super Kings,MS Dhoni
6,Chennai Super Kings,Srikkanth Anirudha
6,Chennai Super Kings,Baba Aparajith
6,Chennai Super Kings,Ravichandran Ashwin
6,Chennai Super Kings,S Badrinath
6,Chennai Super Kings,Dwayne Bravo
6,Chennai Super Kings,Akila Dananjaya
6,Chennai Super Kings,Faf du Plessis
6,Chennai Super Kings,Ben Hilfenhaus
6,Chennai Super Kings,Jason Holder
6,Chennai Super Kings,Michael Hussey
6,Chennai Super Kings,Imtiaz Ahmed
6,Chennai Super Kings,Ravindra Jadeja
6,Chennai Super Kings,Shadab Jakati
6,Chennai Super Kings,R Karthikeyan
6,Chennai Super Kings,Nuwan Kulasekara
6,Chennai Super Kings,Ben Laughlin
6,Chennai Super Kings,Ronit More
6,Chennai Super Kings,Albie Morkel
6,Chennai Super Kings,Chris Morris
6,Chennai Super Kings,Dirk Nannes
6,Chennai Super Kings,Suresh Raina
6,Chennai Super Kings,Ankit Rajpoot
6,Chennai Super Kings,Wriddhiman Saha
6,Chennai Super Kings,Vijay Shankar
6,Chennai Super Kings,Mohit Sharma
6,Chennai Super Kings,Murali Vijay
6,Delhi Daredevils,Mahela Jayawardene
6,Delhi Daredevils,Ajit Agarkar
6,Delhi Daredevils,Gulam Bodi
6,Delhi Daredevils,Johan Botha
6,Delhi Daredevils,Unmukt Chand
6,Delhi Daredevils,Bharat Chipli
6,Delhi Daredevils,Royston Dias
6,Delhi Daredevils,Chidhambaram Gautam
6,Delhi Daredevils,Kedar Jadhav
6,Delhi Daredevils,Manprit Juneja
6,Delhi Daredevils,Siddarth Kaul
6,Delhi Daredevils,Jeevan Mendis
6,Delhi Daredevils,Morne Morkel
6,Delhi Daredevils,Shahbaz Nadeem
6,Delhi Daredevils,Yogesh Nagar
6,Delhi Daredevils,Sujit Nayak
6,Delhi Daredevils,Pawan Negi
6,Delhi Daredevils,Ashish Nehra
6,Delhi Daredevils,Naman Ojha
6,Delhi Daredevils,Irfan Pathan
6,Delhi Daredevils,Ben Rohrer
6,Delhi Daredevils,Andre Russell
6,Delhi Daredevils,Virender Sehwag
6,Delhi Daredevils,Aristh Singhvi
6,Delhi Daredevils,Roelof van der Merwe
6,Delhi Daredevils,Venugopal Rao
6,Delhi Daredevils,David Warner
6,Delhi Daredevils,Umesh Yadav
6,Delhi Daredevils,Varun Aaron
6,Delhi Daredevils,Kevin Pietersen
6,Delhi Daredevils,Jesse Ryder
6,Kings XI Punjab,Adam Gilchrist
6,Kings XI Punjab,Parvinder Awana
6,Kings XI Punjab,Azhar Mahmood
6,Kings XI Punjab,Bhargav Bhatt
6,Kings XI Punjab,Bipul Sharma
6,Kings XI Punjab,Piyush Chawla
6,Kings XI Punjab,Siddharth Chitnis
6,Kings XI Punjab,Aniket Choudhary
