Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
Jaydev Unadkat,4,0,37,2,9.25,7,3,2,0,0,1,598027,6,50,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,field
Vinay Kumar,4,0,24,1,6,10,3,0,0,0,1,598027,6,25,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,field
Chris Gayle,1,0,5,2,5,4,1,0,0,0,1,598027,6,50,Royal Challengers Bangalore,Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Pune Warriors,field
Irfan Pathan,4,0,28,1,7,11,4,0,2,0,2,598028,6,25,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Siddarth Kaul,4,0,39,0,9.75,5,3,2,1,0,2,598028,6,0,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Morne Morkel,4,0,22,1,5.5,12,1,1,0,0,2,598028,6,25,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Ashish Nehra,4,0,38,2,9.5,12,5,2,0,0,2,598028,6,50,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Umesh Yadav,4,0,38,0,9.5,11,5,2,0,0,2,598028,6,0,Delhi Capitals,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Praveen Kumar,4,0,19,1,4.75,13,1,1,0,0,1,598028,6,31,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Azhar Mahmood,4,0,40,0,10,7,4,2,0,0,1,598028,6,0,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Sandeep Sharma,4,1,23,3,5.75,16,3,1,0,0,1,598028,6,91,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Parvinder Awana,4,0,28,1,7,12,4,0,0,1,1,598028,6,25,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Piyush Chawla,4,0,44,2,11,7,3,3,0,0,1,598028,6,50,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,field
Harbhajan Singh,2,0,35,0,17.5,2,4,2,0,1,2,598029,6,-6,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Mitchell Johnson,4,0,26,2,6.5,13,2,1,1,0,2,598029,6,50,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Lasith Malinga,4,0,25,2,6.25,11,4,0,0,0,2,598029,6,50,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Pragyan Ojha,4,0,21,2,5.25,10,2,0,0,0,2,598029,6,50,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Kieron Pollard,2,0,14,0,7,4,1,0,0,0,2,598029,6,0,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Yuzvendra Chahal,4,0,34,0,8.5,9,3,1,0,0,2,598029,6,0,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Lakshmipathy Balaji,4,0,24,0,6,8,1,0,0,0,1,598029,6,0,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Iqbal Abdulla,4,0,35,0,8.75,9,0,4,0,0,1,598029,6,0,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Sunil Narine,4,0,17,3,4.25,11,1,0,0,0,1,598029,6,85,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Sachithra Senanayake,4,0,50,1,12.5,6,3,4,0,0,1,598029,6,19,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Rajat Bhatia,3.5,0,32,1,8.35,5,3,1,0,0,1,598029,6,25,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat
Mohit Sharma,4,0,33,2,8.25,12,5,1,0,0,2,598030,6,50,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Jason Holder,4,0,31,0,7.75,9,4,0,2,0,2,598030,6,0,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Ravichandran Ashwin,4,0,21,1,5.25,10,2,0,1,0,2,598030,6,25,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Chris Morris,3,0,24,0,8,6,1,1,0,0,2,598030,6,0,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Dwayne Bravo,4,0,37,2,9.25,9,5,1,0,0,2,598030,6,50,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Ravindra Jadeja,1,0,8,0,8,4,0,1,0,0,2,598030,6,0,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Daren Sammy,3,0,31,0,10.33,4,3,1,1,0,1,598030,6,0,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Ishant Sharma,4,0,34,1,8.5,9,4,0,1,1,1,598030,6,25,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Dale Steyn,4,0,45,1,11.25,9,4,3,1,0,1,598030,6,25,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Karn Sharma,4,1,8,0,2,16,0,0,0,0,1,598030,6,18,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Amit Mishra,4,0,26,3,6.5,11,2,1,0,0,1,598030,6,79,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Ashish Reddy,0.4,0,15,0,22.5,1,2,1,1,0,1,598030,6,0,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat
Lakshmipathy Balaji,4,0,44,1,11,11,5,3,0,0,2,598031,6,25,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat
Sachithra Senanayake,4,1,29,0,7.25,9,4,0,0,0,2,598031,6,12,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat
Sunil Narine,4,0,22,0,5.5,10,2,0,0,0,2,598031,6,0,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat
Jacques Kallis,4,0,14,2,3.5,13,1,0,0,0,2,598031,6,56,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat
Sarabjit Ladda,2,0,18,1,9,3,1,1,0,0,2,598031,6,25,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat
Rajat Bhatia,2,0,17,1,8.5,2,2,0,0,0,2,598031,6,25,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,bat
Praveen Kumar,4,0,28,0,7,13,2,2,1,0,1,598031,6,0,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat
Azhar Mahmood,4,0,35,3,8.75,13,3,3,0,0,1,598031,6,79,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat
Bhargav Bhatt,3,0,21,0,7,8,3,0,1,0,1,598031,6,0,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat
Piyush Chawla,4,0,33,0,8.25,8,4,1,0,0,1,598031,6,0,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat
Harmeet Singh,3.2,0,24,1,7.2,9,2,1,0,1,1,598031,6,25,Punjab Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat
Harmeet Singh,3.2,0,24,1,7.2,9,2,1,0,1,1,598031,6,25,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Punjab Kings,bat
Ajit Chandila,3,0,13,2,4.33,13,2,0,0,0,2,598032,6,56,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
James Faulkner,4,0,20,5,5,13,2,0,0,0,2,598032,6,141,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Shane Watson,2,0,16,0,8,6,3,0,1,0,2,598032,6,0,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Kevon Cooper,4,0,42,1,10.5,8,5,1,4,0,2,598032,6,25,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Siddharth Trivedi,3,0,26,0,8.67,7,2,1,2,0,2,598032,6,0,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Stuart Binny,4,0,25,1,6.25,10,2,0,2,0,2,598032,6,25,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Dale Steyn,4,1,15,1,3.75,16,2,0,1,0,1,598032,6,43,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Ishant Sharma,3,0,35,0,11.67,6,6,1,0,0,1,598032,6,0,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Thisara Perera,4,0,34,1,8.5,10,5,1,0,0,1,598032,6,25,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Daren Sammy,3,0,17,0,5.67,8,2,0,0,0,1,598032,6,0,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Amit Mishra,2,0,20,0,10,3,0,2,0,0,1,598032,6,0,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Karn Sharma,1.5,0,24,0,13.09,1,3,1,0,0,1,598032,6,0,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,bat
Ravi Rampaul,4,0,35,1,8.75,10,5,1,0,0,2,598033,6,25,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
RP Singh,4,0,40,1,10,8,5,1,2,0,2,598033,6,25,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Jaydev Unadkat,4,0,32,0,8,9,2,2,0,0,2,598033,6,0,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Vinay Kumar,4,0,38,1,9.5,12,4,2,1,0,2,598033,6,25,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Jamaluddin Syed Mohammad,4,0,43,1,10.75,1,2,2,0,0,2,598033,6,25,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Mitchell Johnson,4,0,27,0,6.75,14,4,1,0,0,1,598033,6,0,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Lasith Malinga,4,0,25,0,6.25,11,3,0,0,0,1,598033,6,0,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Dhawal Kulkarni,4,0,19,3,4.75,15,0,1,3,0,1,598033,6,85,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Harbhajan Singh,4,0,21,2,5.25,10,0,1,0,0,1,598033,6,50,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Dwayne Smith,2,0,20,2,10,5,3,0,0,1,1,598033,6,50,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Kieron Pollard,2,0,19,0,9.5,2,2,0,0,0,1,598033,6,0,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Yusuf Pathan,2,0,18,0,9,2,0,1,0,0,2,598034,6,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Mohammed Shami,2,0,20,0,10,7,3,1,1,0,2,598034,6,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Lakshmipathy Balaji,4,0,45,0,11.25,4,5,1,1,0,2,598034,6,0,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Sunil Narine,4,0,35,1,8.75,8,4,1,0,0,2,598034,6,25,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Jacques Kallis,4,0,50,0,12.5,3,5,2,0,0,2,598034,6,-6,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Rajat Bhatia,4,0,31,1,7.75,4,3,0,0,0,2,598034,6,25,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Dirk Nannes,4,0,50,0,12.5,10,4,3,3,1,1,598034,6,-6,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Mohit Sharma,4,0,23,1,5.75,11,3,0,0,0,1,598034,6,25,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Chris Morris,3,0,29,1,9.67,7,6,0,0,0,1,598034,6,25,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Ravindra Jadeja,2,0,13,0,6.5,5,0,1,0,0,1,598034,6,0,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Ravichandran Ashwin,3,0,26,0,8.67,3,2,1,0,0,1,598034,6,0,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Dwayne Bravo,4,0,37,1,9.25,7,5,0,3,0,1,598034,6,25,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,field
Bhuvneshwar Kumar,4,0,30,0,7.5,14,2,1,4,0,2,598035,6,0,Pune Warriors,Delhi Capitals,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Kane Richardson,4,0,38,0,9.5,11,1,4,1,0,2,598035,6,0,Pune Warriors,Delhi Capitals,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Ashok Dinda,4,0,31,3,7.75,14,5,1,0,0,2,598035,6,79,Pune Warriors,Delhi Capitals,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Rahul Sharma,3,0,23,1,7.67,7,2,1,0,0,2,598035,6,25,Pune Warriors,Delhi Capitals,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Luke Wright,1,0,16,0,16,0,1,1,2,0,2,598035,6,0,Pune Warriors,Delhi Capitals,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Yuvraj Singh,2,0,9,0,4.5,3,0,0,0,0,2,598035,6,6,Pune Warriors,Delhi Capitals,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Abhishek Nayar,2,0,15,1,7.5,4,1,0,1,0,2,598035,6,25,Pune Warriors,Delhi Capitals,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Irfan Pathan,4,1,29,2,7.25,12,5,0,0,0,1,598035,6,62,Delhi Capitals,Pune Warriors,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Umesh Yadav,4,0,24,2,6,13,2,0,1,0,1,598035,6,50,Delhi Capitals,Pune Warriors,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Morne Morkel,4,0,36,0,9,9,5,0,1,0,1,598035,6,0,Delhi Capitals,Pune Warriors,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Ashish Nehra,4,0,27,0,6.75,8,3,0,1,0,1,598035,6,0,Delhi Capitals,Pune Warriors,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Shahbaz Nadeem,4,0,30,0,7.5,9,3,1,0,0,1,598035,6,0,Delhi Capitals,Pune Warriors,"Shaheed Veer Narayan Singh International Stadium, Raipur",Pune Warriors,field
Ajit Chandila,4,0,39,0,9.75,5,6,0,0,0,2,598036,6,0,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
James Faulkner,4,0,42,0,10.5,9,1,3,3,0,2,598036,6,0,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Sreesanth,4,1,35,1,8.75,11,4,1,0,2,2,598036,6,37,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Shane Watson,4,0,22,3,5.5,12,1,1,0,0,2,598036,6,79,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Siddharth Trivedi,3,0,20,1,6.67,6,2,0,0,0,2,598036,6,25,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Stuart Binny,1,0,8,0,8,2,1,0,0,0,2,598036,6,0,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Ravi Rampaul,4,1,28,2,7,14,2,2,0,0,1,598036,6,62,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
RP Singh,4,0,35,1,8.75,5,4,0,1,0,1,598036,6,25,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Vinay Kumar,3.5,0,39,1,10.17,7,5,1,0,0,1,598036,6,25,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Moises Henriques,2,0,6,1,3,8,0,0,1,0,1,598036,6,31,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Murali Kartik,3,0,32,0,10.67,1,1,2,0,0,1,598036,6,0,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Jaydev Unadkat,3,0,30,0,10,4,4,0,0,0,1,598036,6,0,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field
Praveen Kumar,4,0,24,1,6,12,2,1,1,0,2,598037,6,25,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Azhar Mahmood,4,0,32,0,8,10,3,1,0,0,2,598037,6,0,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Parvinder Awana,4,0,16,0,4,10,0,0,1,0,2,598037,6,6,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Manpreet Gony,4,0,43,1,10.75,8,5,2,1,1,2,598037,6,25,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Piyush Chawla,2,0,24,1,12,4,2,2,0,0,2,598037,6,19,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
David Hussey,2,0,32,0,16,3,2,3,1,0,2,598037,6,-6,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Mitchell Johnson,4,0,29,2,7.25,11,2,1,3,0,1,598037,6,50,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Lasith Malinga,4,0,39,1,9.75,9,4,2,1,0,1,598037,6,25,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Dhawal Kulkarni,4,0,44,2,11,11,3,3,1,1,1,598037,6,50,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Pragyan Ojha,3,0,22,2,7.33,8,2,1,0,0,1,598037,6,50,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Harbhajan Singh,4,0,14,3,3.5,11,0,0,0,0,1,598037,6,85,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Kieron Pollard,1,0,15,0,15,1,0,2,0,0,1,598037,6,0,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Rahul Sharma,4,0,27,1,6.75,9,3,0,0,0,2,598038,6,25,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Bhuvneshwar Kumar,4,1,24,0,6,9,3,0,0,0,2,598038,6,12,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Kane Richardson,4,0,35,1,8.75,7,2,2,0,0,2,598038,6,25,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Ashok Dinda,4,0,41,0,10.25,5,3,2,0,0,2,598038,6,0,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Abhishek Nayar,3,0,23,0,7.67,3,1,0,1,0,2,598038,6,0,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Luke Wright,1,0,12,1,12,2,1,1,0,0,2,598038,6,25,Pune Warriors,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Ravindra Jadeja,4,0,26,1,6.5,14,1,2,0,1,1,598038,6,25,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Albie Morkel,3,0,20,0,6.67,9,2,1,0,0,1,598038,6,0,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Mohit Sharma,4,0,21,3,5.25,11,2,0,1,0,1,598038,6,79,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Chris Morris,3,0,21,1,7,7,2,0,1,0,1,598038,6,25,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Ravichandran Ashwin,2,0,20,0,10,5,2,1,0,0,1,598038,6,0,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Dwayne Bravo,4,0,18,1,4.5,10,0,0,1,0,1,598038,6,31,Chennai Super Kings,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bat
Karn Sharma,4,0,25,0,6.25,8,2,0,0,0,2,598039,6,0,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Dale Steyn,4,0,27,0,6.75,10,3,0,2,0,2,598039,6,0,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Ishant Sharma,4,1,15,2,3.75,16,0,1,0,1,2,598039,6,68,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Thisara Perera,4,0,37,0,9.25,9,6,0,1,1,2,598039,6,0,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Amit Mishra,4,0,24,2,6,10,1,1,0,0,2,598039,6,50,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Mitchell Johnson,3,0,21,1,7,8,3,0,0,0,1,598039,6,25,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Dhawal Kulkarni,2,0,13,1,6.5,6,2,0,1,0,1,598039,6,25,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Harbhajan Singh,4,0,35,1,8.75,9,3,1,0,1,1,598039,6,25,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Lasith Malinga,3,0,23,0,7.67,7,3,0,0,0,1,598039,6,0,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Pragyan Ojha,4,0,18,0,4.5,10,1,0,0,0,1,598039,6,6,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Rohit Sharma,1,0,5,0,5,2,0,0,1,0,1,598039,6,0,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Dwayne Smith,1,0,15,0,15,0,3,0,0,0,1,598039,6,0,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,bat
Irfan Pathan,4,0,16,1,4,15,2,0,1,0,2,598040,6,31,Delhi Capitals,Kolkata Knight Riders,"Shaheed Veer Narayan Singh International Stadium, Raipur",Kolkata Knight Riders,bat
Ashish Nehra,4,0,37,1,9.25,9,3,2,1,0,2,598040,6,25,Delhi Capitals,Kolkata Knight Riders,"Shaheed Veer Narayan Singh International Stadium, Raipur",Kolkata Knight Riders,bat
Umesh Yadav,4,0,36,2,9,11,6,0,2,0,2,598040,6,50,Delhi Capitals,Kolkata Knight Riders,"Shaheed Veer Narayan Singh International Stadium, Raipur",Kolkata Knight Riders,bat
