Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
Shane Warne,4,0,19,3,4.75,11,0,1,0,0,2,335987,1,85,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Dinesh Salunkhe,2,0,21,1,10.5,5,2,1,2,0,2,335987,1,25,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Pankaj Singh,1,0,12,0,12,0,2,0,0,0,2,335987,1,0,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Yusuf Pathan,1,0,13,0,13,3,0,2,0,0,2,335987,1,0,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Brett Lee,4,0,35,1,8.75,13,5,1,0,2,1,335987,1,25,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Sreesanth,3.1,0,38,1,12,9,5,1,3,2,1,335987,1,19,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
James Hopes,4,0,33,1,8.25,11,2,2,1,0,1,335987,1,25,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Irfan Pathan,4,0,21,1,5.25,11,2,0,2,0,1,335987,1,25,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Piyush Chawla,2,0,27,0,13.5,4,3,2,0,0,1,335987,1,-6,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Wilkin Mota,1,0,12,0,12,1,0,1,0,0,1,335987,1,0,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Glenn McGrath,4,1,22,0,5.5,16,4,0,0,0,2,335988,1,12,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Mohammad Asif,4,0,19,2,4.75,17,0,2,0,0,2,335988,1,56,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Farveez Maharoof,4,0,36,2,9,10,3,2,1,0,2,335988,1,50,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Yo Mahesh,4,0,35,1,8.75,7,3,1,0,1,2,335988,1,25,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Rajat Bhatia,4,0,27,2,6.75,9,2,1,0,0,2,335988,1,50,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Chaminda Vaas,3,0,22,0,7.33,7,3,0,1,0,1,335988,1,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
RP Singh,3,0,27,1,9,7,5,0,1,0,1,335988,1,25,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Sanjay Bangar,2,0,30,0,15,3,3,2,1,0,1,335988,1,-6,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Shahid Afridi,2,0,17,0,8.5,3,0,1,0,0,1,335988,1,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Andrew Symonds,2,0,35,0,17.5,4,4,3,0,0,1,335988,1,-6,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Pragyan Ojha,1,0,7,0,7,3,0,0,2,0,1,335988,1,0,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,bat
Shaun Pollock,3,0,32,0,10.67,8,5,1,1,0,2,335989,1,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Ashish Nehra,4,0,35,1,8.75,12,6,0,2,1,2,335989,1,25,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Dhawal Kulkarni,3,0,25,1,8.33,7,4,0,0,1,2,335989,1,25,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Harbhajan Singh,2,0,14,0,7,3,0,1,0,0,2,335989,1,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Dwayne Bravo,3,0,36,0,12,4,5,1,1,0,2,335989,1,-6,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Vikrant Yeligati,1,0,16,0,16,1,2,0,1,0,2,335989,1,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Abhishek Nayar,1,0,14,0,14,2,0,2,0,0,2,335989,1,0,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Musavir Khote,3,0,29,2,9.67,4,2,1,0,0,2,335989,1,50,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Jacob Oram,4,0,53,0,13.25,7,6,3,2,0,1,335989,1,-6,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Manpreet Gony,4,1,18,1,4.5,14,2,0,0,1,1,335989,1,43,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Joginder Sharma,4,0,29,2,7.25,8,3,0,0,1,1,335989,1,50,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Palani  Amarnath,4,0,57,1,14.25,6,6,3,0,0,1,335989,1,19,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Muttiah Muralitharan,4,0,40,2,10,5,2,2,4,0,1,335989,1,50,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,field
Munaf Patel,4,0,55,0,13.75,7,11,0,2,0,2,335990,1,-6,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Shane Watson,4,0,32,1,8,13,6,0,2,0,2,335990,1,25,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Yusuf Pathan,2,0,20,2,10,6,1,2,0,0,2,335990,1,50,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Pankaj Singh,2,0,14,0,7,4,0,1,0,0,2,335990,1,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Siddharth Trivedi,3,0,37,0,12.33,2,3,2,0,1,2,335990,1,-6,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Shane Warne,4,0,47,2,11.75,3,3,3,1,0,2,335990,1,50,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Dinesh Salunkhe,1,0,9,0,9,2,0,1,0,0,2,335990,1,0,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Chaminda Vaas,4,0,42,1,10.5,8,5,2,0,0,1,335990,1,25,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
RP Singh,4,0,44,1,11,10,4,3,1,1,1,335990,1,25,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Pragyan Ojha,2,0,23,0,11.5,3,3,1,0,0,1,335990,1,0,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Doddapaneni Kalyankrishna,3,0,30,1,10,4,2,2,0,0,1,335990,1,25,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Shahid Afridi,4,0,28,3,7,9,2,1,1,0,1,335990,1,79,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Andrew Symonds,2.5,0,46,0,16.24,3,2,5,0,0,1,335990,1,-6,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,field
Shaun Pollock,4,0,40,1,10,8,5,1,1,0,2,335991,1,25,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Ashish Nehra,3,0,22,2,7.33,7,2,0,0,0,2,335991,1,50,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Dhawal Kulkarni,4,0,37,2,9.25,10,3,2,1,1,2,335991,1,50,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Harbhajan Singh,4,0,32,3,8,9,4,0,1,0,2,335991,1,79,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Dwayne Bravo,3,0,27,0,9,6,2,1,0,0,2,335991,1,0,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Musavir Khote,2,0,22,0,11,2,2,1,0,0,2,335991,1,0,Mumbai Indians,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
