,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location
6380,Mayank Agarwal,c Hogg b Russell,9,11,1,0,81.82,1,980903,9,10,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6381,Quinton de Kock,c Pathan b Russell,17,10,1,1,170,1,980903,9,26,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6382,Shreyas Iyer,lbw b Russell,0,3,0,0,0,1,980903,9,-2,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6383,Karun Nair,c Pandey b Hastings,3,8,0,0,37.5,1,980903,9,-3,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6384,Sanju Samson,c †Uthappa b Hogg,15,13,2,0,115.38,1,980903,9,17,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6385,Pawan Negi,st †Uthappa b Hogg,11,19,0,1,57.89,1,980903,9,13,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6386,Carlos Brathwaite,lbw b Chawla,6,4,0,1,150,1,980903,9,8,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6387,Chris Morris,b Chawla,11,9,2,0,122.22,1,980903,9,13,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6388,Nathan Coulter Nile,not out,7,11,1,0,63.64,1,980903,9,8,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6389,Amit Mishra,c Gambhir b Hogg,3,9,0,0,33.33,1,980903,9,-3,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6390,Amit Mishra,c Gambhir b Hogg,3,9,0,0,33.33,1,980903,9,-3,Gujarat Lions,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6391,Zaheer Khan,c Pandey b Hastings,4,9,1,0,44.44,1,980903,9,-1,Delhi Capitals,Gujarat Lions,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6392,Robin Uthappa,c Morris b Mishra,35,33,7,0,106.06,2,980903,9,42,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6393,Gautam Gambhir,not out,38,41,5,0,92.68,2,980903,9,43,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6394,Manish Pandey,not out,15,12,3,0,125,2,980903,9,18,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,"Eden Gardens, Kolkata"
6395,Murali Vijay,b Jadeja,42,34,5,1,123.53,1,980905,9,49,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6396,Manan Vohra,c †Karthik b Jadeja,38,23,4,2,165.22,1,980905,9,46,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6397,David Miller,b Bravo,15,10,1,1,150,1,980905,9,18,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6398,Glenn Maxwell,b Bravo,2,4,0,0,50,1,980905,9,2,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6399,Wriddhiman Saha,c Jadeja b Bravo,20,25,0,0,80,1,980905,9,20,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6400,Marcus Stoinis,c Finch b Bravo,33,22,4,0,150,1,980905,9,37,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6401,Axar Patel,not out,4,2,0,0,200,1,980905,9,10,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6402,Mitchell Johnson,not out,0,0,0,0,0,1,980905,9,-2,Punjab Kings,Gujarat Lions,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6403,Aaron Finch,st †Saha b Sahu,74,47,12,0,157.45,2,980905,9,86,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6404,Brendon McCullum,st †Saha b Sandeep Sharma,0,2,0,0,0,2,980905,9,-2,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6405,Suresh Raina,c Johnson b Stoinis,20,9,1,2,222.22,2,980905,9,31,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6406,Dinesh Karthik,not out,41,26,7,0,157.69,2,980905,9,48,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6407,Ravindra Jadeja,run out (Johnson),8,12,0,0,66.67,2,980905,9,8,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6408,Ishan Kishan,c Sharma b Johnson,11,8,2,0,137.5,2,980905,9,13,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6409,Dwayne Bravo,not out,2,2,0,0,100,2,980905,9,2,Gujarat Lions,Punjab Kings,Gujarat Lions,field,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6410,Chris Gayle,b Kumar,1,4,0,0,25,1,980907,9,-5,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6411,Virat Kohli,b Kumar,75,51,7,3,147.06,1,980907,9,88,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6412,AB de Villiers,c Morgan b Mustafizur Rahman,82,42,7,6,195.24,1,980907,9,107,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6413,Shane Watson,c †Ojha b Mustafizur Rahman,19,8,0,3,237.5,1,980907,9,31,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6414,Sarfaraz Khan,not out,35,10,5,2,350,1,980907,9,50,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6415,Kedar Jadhav,not out,8,6,1,0,133.33,1,980907,9,9,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6416,David Warner,c Milne b Watson,58,25,4,5,232,2,980907,9,78,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6417,Shikhar Dhawan,b Parvez Rasool,8,9,1,0,88.89,2,980907,9,9,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6418,Moises Henriques,c Parvez Rasool b Milne,19,23,2,0,82.61,2,980907,9,21,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6419,Naman Ojha,c de Villiers b Chahal,0,4,0,0,0,2,980907,9,-2,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6420,Deepak Hooda,c de Villiers b Chahal,6,6,1,0,100,2,980907,9,7,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6421,Eoin Morgan,not out,22,18,2,0,122.22,2,980907,9,24,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6422,Ashish Reddy,b Watson,32,18,2,3,177.78,2,980907,9,46,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6423,Karn Sharma,not out,26,17,3,1,152.94,2,980907,9,31,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,"M.Chinnaswamy Stadium, Bengaluru"
6424,Robin Uthappa,c Pollard b McClenaghan,8,10,1,0,80,1,980909,9,9,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
6425,Gautam Gambhir,c †Patel b Pandya,64,52,4,1,123.08,1,980909,9,70,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
6426,Manish Pandey,c & b Harbhajan Singh,52,29,3,3,179.31,1,980909,9,67,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
6427,Andre Russell,b McClenaghan,36,17,1,4,211.76,1,980909,9,51,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
6428,Yusuf Pathan,not out,9,6,1,0,150,1,980909,9,10,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
6429,Colin Munro,run out (Southee/†Patel),4,5,0,0,80,1,980909,9,4,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
6430,Suryakumar Yadav,not out,4,1,1,0,400,1,980909,9,11,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
6431,Rohit Sharma,not out,84,54,10,2,155.56,2,980909,9,98,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata"
6432,Parthiv Patel,run out (Hogg/†Uthappa),23,20,4,0,115,2,980909,9,27,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata"
6433,Hardik Pandya,c Pandey b Chawla,9,10,0,0,90,2,980909,9,9,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata"
6434,Mitchell McClenaghan,c Munro b Kuldeep Yadav,20,8,0,3,250,2,980909,9,32,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata"
6435,Jos Buttler,c Yadav b Russell,41,22,3,3,186.36,2,980909,9,56,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata"
6436,Kieron Pollard,not out,1,1,0,0,100,2,980909,9,1,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,"Eden Gardens, Kolkata"
6437,Ajinkya Rahane,lbw b Tambe,21,17,4,0,123.53,1,980911,9,25,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6438,Faf du Plessis,st †Karthik b Tambe,69,43,5,4,160.47,1,980911,9,82,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6439,Kevin Pietersen,b Bravo,37,31,2,1,119.35,1,980911,9,41,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6440,Steven Smith,c Faulkner b Jadeja,5,6,0,0,83.33,1,980911,9,5,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6441,MS Dhoni,not out,22,10,2,1,220,1,980911,9,32,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6442,Mitchell Marsh,b Jadeja,7,11,0,0,63.64,1,980911,9,7,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6443,Rajat Bhatia,not out,0,2,0,0,0,1,980911,9,-2,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6444,Aaron Finch,c Sharma b M Ashwin,50,36,7,2,138.89,2,980911,9,61,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6445,Brendon McCullum,c du Plessis b Sharma,49,31,3,3,158.06,2,980911,9,58,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6446,Suresh Raina,st †Dhoni b M Ashwin,24,24,1,0,100,2,980911,9,25,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6447,Dwayne Bravo,not out,22,10,3,1,220,2,980911,9,33,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6448,Ravindra Jadeja,not out,4,8,0,0,50,2,980911,9,4,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Saurashtra Cricket Association Stadium, Rajkot"
6449,Murali Vijay,run out (Khan/Nair/†de Kock),1,5,0,0,20,1,980913,9,-5,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6450,Manan Vohra,b Mishra,32,24,5,0,133.33,1,980913,9,37,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6451,Shaun Marsh,st †de Kock b Mishra,13,16,2,0,81.25,1,980913,9,15,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6452,David Miller,lbw b Mishra,9,9,1,0,100,1,980913,9,10,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6453,Glenn Maxwell,c Brathwaite b Mishra,0,3,0,0,0,1,980913,9,-2,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6454,Axar Patel,c Negi b Yadav,11,22,1,0,50,1,980913,9,12,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6455,Wriddhiman Saha,run out (Duminy),3,7,0,0,42.86,1,980913,9,-3,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6456,Mitchell Johnson,b Morris,4,12,0,0,33.33,1,980913,9,-2,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6457,Mohit Sharma,c Morris b Khan,15,8,1,1,187.5,1,980913,9,24,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6458,Pardeep Sahu,not out,18,12,1,1,150,1,980913,9,21,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6459,Sandeep Sharma,not out,1,2,0,0,50,1,980913,9,1,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6460,Quinton de Kock,not out,59,42,9,1,140.48,2,980913,9,70,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6461,Shreyas Iyer,c †Saha b Sandeep Sharma,3,5,0,0,60,2,980913,9,3,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6462,Sanju Samson,b Patel,33,32,3,1,103.13,2,980913,9,38,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6463,Pawan Negi,not out,8,2,0,1,400,2,980913,9,16,Delhi Capitals,Punjab Kings,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi"
6464,David Warner,c SA Yadav b UT Yadav,13,12,2,0,108.33,1,980915,9,15,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6465,Shikhar Dhawan,c †Uthappa b Morkel,6,7,1,0,85.71,1,980915,9,7,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6466,Moises Henriques,lbw b UT Yadav,6,9,1,0,66.67,1,980915,9,7,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6467,Eoin Morgan,c Shakib Al Hasan b UT Yadav,51,43,3,2,118.6,1,980915,9,58,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6468,Deepak Hooda,c UT Yadav b Russell,6,11,0,0,54.55,1,980915,9,6,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6469,Naman Ojha,c Chawla b Morkel,37,28,2,2,132.14,1,980915,9,43,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6470,Ashish Reddy,run out (Shakib Al Hasan/†Uthappa),13,8,0,1,162.5,1,980915,9,15,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6471,Karn Sharma,not out,2,2,0,0,100,1,980915,9,2,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6472,Bhuvneshwar Kumar,not out,0,1,0,0,0,1,980915,9,-2,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6473,Robin Uthappa,lbw b Ashish Reddy,38,34,3,1,111.76,2,980915,9,43,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6474,Gautam Gambhir,not out,90,60,13,1,150,2,980915,9,105,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6475,Andre Russell,b Mustafizur Rahman,2,5,0,0,40,2,980915,9,-4,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6476,Manish Pandey,not out,11,11,0,0,100,2,980915,9,11,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
6477,Rohit Sharma,c Jakati b Kulkarni,7,9,1,0,77.78,1,980917,9,8,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6478,Parthiv Patel,c Faulkner b Tambe,34,29,2,2,117.24,1,980917,9,40,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6479,Hardik Pandya,c Jakati b Kulkarni,2,6,0,0,33.33,1,980917,9,-4,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6480,Jos Buttler,st †Karthik b Jakati,16,21,3,0,76.19,1,980917,9,19,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6481,Kieron Pollard,c Bravo b Tambe,1,3,0,0,33.33,1,980917,9,-5,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6482,Ambati Rayudu,b Faulkner,20,19,0,1,105.26,1,980917,9,22,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6483,Harbhajan Singh,c †Karthik b Bravo,8,13,1,0,61.54,1,980917,9,9,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6484,Krunal Pandya,not out,20,11,3,0,181.82,1,980917,9,29,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6485,Tim Southee,run out (†Karthik/Bravo),25,11,1,2,227.27,1,980917,9,36,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6486,Mitchell McClenaghan,not out,0,0,0,0,0,1,980917,9,-2,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6487,Aaron Finch,not out,67,54,7,1,124.07,2,980917,9,76,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6488,Brendon McCullum,c HH Pandya b Bumrah,6,4,0,1,150,2,980917,9,8,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6489,Suresh Raina,c †Patel b McClenaghan,27,22,3,1,122.73,2,980917,9,32,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6490,Dinesh Karthik,c Harbhajan Singh b KH Pandya,9,11,1,0,81.82,2,980917,9,10,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6491,Dwayne Bravo,c †Patel b Bumrah,2,6,0,0,33.33,2,980917,9,-4,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6492,Akshdeep Nath,c HH Pandya b McClenaghan,12,11,1,0,109.09,2,980917,9,13,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6493,James Faulkner,c †Patel b McClenaghan,7,8,1,0,87.5,2,980917,9,8,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6494,Praveen Kumar,c †Patel b McClenaghan,0,2,0,0,0,2,980917,9,-2,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6495,Dhawal Kulkarni,not out,6,3,1,0,200,2,980917,9,13,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,"Wankhede Stadium, Mumbai"
6496,Ajinkya Rahane,b Sandeep Sharma,9,11,2,0,81.82,1,980919,9,11,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6497,Faf du Plessis,c & b Sharma,67,53,8,0,126.42,1,980919,9,75,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6498,Kevin Pietersen,c Vohra b Abbott,15,15,2,0,100,1,980919,9,17,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6499,Thisara Perera,c Sharma b Sandeep Sharma,8,9,1,0,88.89,1,980919,9,9,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6500,Steven Smith,c Miller b Sharma,38,26,5,0,146.15,1,980919,9,43,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6501,MS Dhoni,c Maxwell b Sharma,1,2,0,0,50,1,980919,9,1,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6502,Irfan Pathan,run out (Maxwell/†Saha),2,2,0,0,100,1,980919,9,2,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6503,Ravichandran Ashwin,not out,1,2,0,0,50,1,980919,9,1,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6504,Murali Vijay,c †Dhoni b M Ashwin,53,49,5,2,108.16,2,980919,9,62,Punjab Kings,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6505,Manan Vohra,lbw b Ankit Sharma,51,33,7,0,154.55,2,980919,9,58,Punjab Kings,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6506,Shaun Marsh,b M Ashwin,4,6,0,0,66.67,2,980919,9,4,Punjab Kings,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6507,David Miller,c Pietersen b M Ashwin,7,6,0,0,116.67,2,980919,9,7,Punjab Kings,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6508,Glenn Maxwell,not out,32,14,3,2,228.57,2,980919,9,45,Punjab Kings,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6509,Wriddhiman Saha,not out,4,4,0,0,100,2,980919,9,4,Punjab Kings,Rising Pune Supergiant,Rising Pune Supergiant,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
6510,Chris Gayle,c Duminy b Khan,0,3,0,0,0,1,980921,9,-2,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6511,Virat Kohli,c Iyer b Mohammed Shami,79,48,7,3,164.58,1,980921,9,92,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6512,AB de Villiers,c Mohammed Shami b Brathwaite,55,33,9,1,166.67,1,980921,9,66,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6513,Shane Watson,c Morris b Mohammed Shami,33,19,2,3,173.68,1,980921,9,47,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6514,Sarfaraz Khan,run out (Mohammed Shami),1,2,0,0,50,1,980921,9,1,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6515,Kedar Jadhav,not out,9,11,1,0,81.82,1,980921,9,10,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6516,David Wiese,not out,5,4,0,0,125,1,980921,9,5,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6517,Quinton de Kock,c †Jadhav b Watson,108,51,15,3,211.76,2,980921,9,151,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6518,Shreyas Iyer,c Wiese b Aravind,0,4,0,0,0,2,980921,9,-2,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
6519,Sanju Samson,c Chahal b Watson,9,14,0,0,64.29,2,980921,9,9,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,"M.Chinnaswamy Stadium, Bengaluru"
