,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location
40,Virender Sehwag,b Watson,12,4,3,0,300,2,335984,1,21,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
41,Shikhar Dhawan,not out,52,41,8,0,126.83,2,335984,1,60,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
42,Luke Ronchi,c Kohli b Khan,8,10,2,0,80,1,335985,1,10,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
43,Sanath Jayasuriya,run out (Khan),29,16,5,1,181.25,1,335985,1,42,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
44,Dominic Thornely,retired hurt,0,5,0,0,0,1,335985,1,-2,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
45,Robin Uthappa,st †Boucher b Akhil,48,38,5,1,126.32,1,335985,1,55,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
46,Pinal Shah,c Kohli b Akhil,19,23,2,0,82.61,1,335985,1,21,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
47,Abhishek Nayar,c Khan b Kumar,20,14,1,1,142.86,1,335985,1,23,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
48,Shaun Pollock,b Khan,28,12,3,2,233.33,1,335985,1,41,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
49,Harbhajan Singh,not out,2,2,0,0,100,1,335985,1,2,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
50,Shivnarine Chanderpaul,c Nayar b Kulkarni,16,11,3,0,145.45,2,335985,1,19,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
51,Rahul Dravid,c & b Harbhajan Singh,32,33,4,0,96.97,2,335985,1,36,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
52,Ross Taylor,c Nayar b Jayasuriya,23,12,1,2,191.67,2,335985,1,34,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
53,Jacques Kallis,c Nayar b Harbhajan Singh,25,24,0,1,104.17,2,335985,1,27,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
54,Virat Kohli,c †Ronchi b Nehra,23,14,3,1,164.29,2,335985,1,28,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
55,Mark Boucher,not out,39,19,4,2,205.26,2,335985,1,53,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
56,Balachandra Akhil,not out,3,5,0,0,60,2,335985,1,3,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,"Wankhede Stadium, Mumbai"
57,Adam Gilchrist,c Mohammad Hafeez b Kartik,23,22,1,2,104.55,1,335986,1,28,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
58,Venugopal Rao,c Kartik b Sharma,14,14,1,0,100,1,335986,1,15,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
59,VVS Laxman,c Shukla b Dinda,0,6,0,0,0,1,335986,1,-2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
60,Andrew Symonds,c Hussey b Agarkar,32,39,2,2,82.05,1,335986,1,38,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
61,Rohit Sharma,c †Saha b Kartik,0,3,0,0,0,1,335986,1,-2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
62,Scott Styris,b Mohammad Hafeez,6,7,1,0,85.71,1,335986,1,7,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
63,Arjun Yadav,c Dinda b Hussey,10,10,0,1,100,1,335986,1,12,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
64,Sanjay Bangar,c †Saha b Kartik,14,10,1,1,140,1,335986,1,17,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
