,Name,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points
10,Harbhajan Singh,4,0,36,2,9,6,2,2,1,0,1,335985,1,50
11,Abhishek Nayar,1,0,10,0,10,2,2,0,0,0,1,335985,1,0
0,Ashok Dinda,3,0,18,1,6,9,1,0,0,1,2,335986,1,25
1,Ishant Sharma,3,1,9,1,3,13,0,0,3,0,2,335986,1,43
2,Ajit Agarkar,2,0,19,2,9.5,6,1,2,0,0,2,335986,1,50
3,Murali Kartik,3.4,0,17,3,4.64,14,3,0,0,0,2,335986,1,85
4,Mohammad Hafeez,4,0,8,1,2,17,0,0,0,1,2,335986,1,31
5,David Hussey,3,0,35,1,11.67,7,1,4,1,0,2,335986,1,25
6,Chaminda Vaas,3,0,9,2,3,12,1,0,0,0,1,335986,1,56
7,RP Singh,3,0,15,1,5,10,2,0,0,0,1,335986,1,25
8,Scott Styris,4,0,19,0,4.75,15,1,1,1,0,1,335986,1,6
9,Sanjay Bangar,3,0,19,0,6.33,13,1,1,2,0,1,335986,1,0
10,Andrew Symonds,2,0,20,0,10,4,0,1,2,1,1,335986,1,0
11,Pragyan Ojha,4,0,18,2,4.5,13,0,1,2,0,1,335986,1,56
0,Munaf Patel,4,0,36,1,9,12,4,2,0,0,2,335987,1,25
1,Shane Watson,4,0,39,0,9.75,12,8,0,0,1,2,335987,1,0
2,Siddharth Trivedi,4,0,25,2,6.25,12,2,1,0,0,2,335987,1,50
3,Shane Warne,4,0,19,3,4.75,11,0,1,0,0,2,335987,1,85
4,Dinesh Salunkhe,2,0,21,1,10.5,5,2,1,2,0,2,335987,1,25
5,Pankaj Singh,1,0,12,0,12,0,2,0,0,0,2,335987,1,0
6,Yusuf Pathan,1,0,13,0,13,3,0,2,0,0,2,335987,1,0
7,Brett Lee,4,0,35,1,8.75,13,5,1,0,2,1,335987,1,25
8,Sreesanth,3.1,0,38,1,12,9,5,1,3,2,1,335987,1,19
9,James Hopes,4,0,33,1,8.25,11,2,2,1,0,1,335987,1,25
10,Irfan Pathan,4,0,21,1,5.25,11,2,0,2,0,1,335987,1,25
11,Piyush Chawla,2,0,27,0,13.5,4,3,2,0,0,1,335987,1,-6
12,Wilkin Mota,1,0,12,0,12,1,0,1,0,0,1,335987,1,0
0,Glenn McGrath,4,1,22,0,5.5,16,4,0,0,0,2,335988,1,12
1,Mohammad Asif,4,0,19,2,4.75,17,0,2,0,0,2,335988,1,56
2,Farveez Maharoof,4,0,36,2,9,10,3,2,1,0,2,335988,1,50
3,Yo Mahesh,4,0,35,1,8.75,7,3,1,0,1,2,335988,1,25
4,Rajat Bhatia,4,0,27,2,6.75,9,2,1,0,0,2,335988,1,50
5,Chaminda Vaas,3,0,22,0,7.33,7,3,0,1,0,1,335988,1,0
6,RP Singh,3,0,27,1,9,7,5,0,1,0,1,335988,1,25
7,Sanjay Bangar,2,0,30,0,15,3,3,2,1,0,1,335988,1,-6
8,Shahid Afridi,2,0,17,0,8.5,3,0,1,0,0,1,335988,1,0
9,Andrew Symonds,2,0,35,0,17.5,4,4,3,0,0,1,335988,1,-6
10,Pragyan Ojha,1,0,7,0,7,3,0,0,2,0,1,335988,1,0
0,Shaun Pollock,3,0,32,0,10.67,8,5,1,1,0,2,335989,1,0
1,Ashish Nehra,4,0,35,1,8.75,12,6,0,2,1,2,335989,1,25
2,Dhawal Kulkarni,3,0,25,1,8.33,7,4,0,0,1,2,335989,1,25
3,Harbhajan Singh,2,0,14,0,7,3,0,1,0,0,2,335989,1,0
4,Dwayne Bravo,3,0,36,0,12,4,5,1,1,0,2,335989,1,-6
5,Vikrant Yeligati,1,0,16,0,16,1,2,0,1,0,2,335989,1,0
6,Abhishek Nayar,1,0,14,0,14,2,0,2,0,0,2,335989,1,0
7,Musavir Khote,3,0,29,2,9.67,4,2,1,0,0,2,335989,1,50
8,Jacob Oram,4,0,53,0,13.25,7,6,3,2,0,1,335989,1,-6
9,Manpreet Gony,4,1,18,1,4.5,14,2,0,0,1,1,335989,1,43
10,Joginder Sharma,4,0,29,2,7.25,8,3,0,0,1,1,335989,1,50
